Name;Relevance;Genre;Tags;Description;URI;Category
 True Paranormal Experiences 👻;;Science;;"Hello,
I am a Paranormal Investigator,in the Wisconsin area.
I will share my experiences with you from past to current investigations. What evidence was found and the different devices i use to get results. I will include unique paranormal information, True Stories and 
paranormal experiments . 


It will be an adventure!";spotify:show:7AIwLXV5bXXk4EKKKC1ccm;
#dobetter Pod;;Science;;A professional development initiative for behavior analysts;spotify:show:6frbM7OHrMrHJ0QAz4GNe2;
10 Awesome New Inventions in USA that You'll Never Hear About .;;Science;;Our experts explain the current science and technology trends & concerns.;spotify:show:1f0Kj9MZnk8zet8xtsyNDR;
21 Days with mxmtoon;;Society & Culture, Personal Journals, Documentary, Music, Music Interviews;;19-year-old independent artist mxmtoon went to New York City for the first time to make her first full length album, the masquerade, in just 21 days. A year ago, she was a high school student uploading her songs in secret in her childhood bedroom in Oakland. Now she’s in New York City with a producer she’s never met before and the biggest challenge of her career in front of her. This podcast traces her path to this pivotal moment while she fights pressure, trolls, self-doubt, and most importantly, the clock - she has only 3 weeks to finish the record.;spotify:show:7k2gNSLZnopnh6pcvkQACK;
5AM somewhere;;Science, Life Sciences;;Myself and my friends perspectives;spotify:show:2ujrACwMfLa9YZZ6b9JaI1;
A Tap On The Wrist;;History;;"The scandalous history of alcohol; the people who established it and the crimes committed.";spotify:show:37krWy7JNymswooJ5SpEDv;
A-Pod Cast For Killer Whales;;Science, Natural Sciences;;A-Pod Cast for Killer Whales with host Alison Morrow explores the challenges facing the survival of the J, K, and L-Pod Southern Resident killer whales, the 73 orcas on the brink of extinction.;spotify:show:5XVpwbZzmMhxk2yqDf6gTI;
ABA Ultimate Showdown!;;Science;;"Welcome to ABA Ultimate Showdown! - a podcast promoting constructive, respectful, and professional discourse to advance the field of behavior analysis.
We use a structured debate format to achieve several goals:
~ Encourage respectful conversations among professionals in all settings
~ Advance a deeper knowledge about critical topics in our field through research presented from multiple perspectives
~ Promote civility and an understanding of perspectives that differ from your own
~Model a user friendly format for the education of future behavior analysts and those who organize conferences Support this podcast: <a href=""https://anchor.fm/abashowdown/support"" rel=""payment"">https://anchor.fm/abashowdown/support</a>";spotify:show:0FUV0bDwonUBhRdfdSHS0w;
APPT SNP Podcast;;Science;;The APTA Pediatrics Students and New Professionals (SNP) Podcast shares information to help students and new professionals learn about the world of pediatric physical therapy.;spotify:show:5rMIlXkq9TzIWCPrlArIy1;
APUSH Deep Dives;;History;;"Covering topics in AP US History, that need a little more time than a 50 minute class period allows. 

 Support this podcast: <a href=""https://anchor.fm/grant-mason0/support"" rel=""payment"">https://anchor.fm/grant-mason0/support</a>";spotify:show:26RaouKCzddDY60v4IbmAk;
AQA GCSE Chemistry Revision ;;Science, Chemistry;;A series of podcasts designed to support students with their revision for the AQA GCSE Chemistry exams;spotify:show:5tY52Wqnlz9NoOOwna5S28;
