Name,URI,Category,Type
Parcast Presents: March Mysteries,spotify:show:3j3GybU9u03zLYqLUOSfPB,Documentary,Cooperative-Monolog
Oldest Stories,spotify:show:5PGrkXrRpTug5N4r1FRf4Y,Documentary,Monolog
NinjAnatomy,spotify:show:3LXIzhzK5nTu6Pz1Cul7hu,Science/Education,Monolog
Natural Disasters ,spotify:show:2vPbtummXL9L4UbLiezZmh,Documentary,Cooperative-Monolog
Mardi Gras Beyond The Beads,spotify:show:7FDOXSTV9HTQtURhFe0qxo,Science/Education,Dialog
Love Will Tear Us Apart,spotify:show:1e9xn088BCUUErPjgKqzf7,Documentary,Cooperative-Monolog
Launch Escape: Space Podcast,spotify:show:3tnWkgjrHcOoIirYDQsphL,Science/Education,Monolog
InfoCast 5000,spotify:show:6BMPiOePTJBEL1MpvjOrJn,Science/Education,Dialog
Indirect Message,spotify:show:1kqShC3n6G3ab4WfkhFhol,Science/Education,Monolog
Improbable Research,spotify:show:15GNjJfxY1oqUHMUJtzUvy,Science/Education,Dialog
Immersive Chemistry Podcast,spotify:show:5W9ekXvFJfqfjBbe7vsm53,Science/Education,Dialog
Hostage,spotify:show:07Do1GFU3Y4htyVQbp0uuC,Documentary,Cooperative-Monolog
History Does You,spotify:show:6RnL3W0weLvAJyZC1cIu8K,Science/Education,Dialog
Historia Obscura,spotify:show:2BmKTV4IAQFM4Drm0ar3GW,Documentary,Cooperative-Monolog
Great Women of Business,spotify:show:7I8VlvCJWvznnVtdfewP7A,Documentary,Cooperative-Monolog
GONE,spotify:show:1P5ywuAliiRdTKbZPTvf2p,Documentary,Cooperative-Monolog
From the Earth to the Moon: A Retrospective Podcast on The Apollo Program,spotify:show:4kEqp4NHVj5yj52KJtjVVb,Documentary,Dialog
Forensic Psychology,spotify:show:1GVvUXrTLT31q3Jse40kMw,Science/Education,Dialog
"For Whom the Cell Tolls: Biology, Cancer, and Other Stories About Life",spotify:show:6KySzlxOJT2blYQbiMoPa2,Science/Education,Monolog
Fictorical,spotify:show:2yvrDZCUICLTcQiFfvCuhX,Documentary,Dialog
Female Criminals,spotify:show:7GCKl0vXV9T7GDd2YDbwVa,Documentary,Cooperative-Monolog
Famous Fates,spotify:show:4r157jjrIV0bzS6UxhN07i,Documentary,Cooperative-Monolog
Extraterrestrial,spotify:show:4Y1qqhrzpgNcIkVRajAOdr,Documentary,Cooperative-Monolog
Espionage,spotify:show:4HL2j5zc7B3ywwxzvtCszF,Documentary,Cooperative-Monolog
EMT A to Z ,spotify:show:7De6851EDFeLKZx4CFACCx,Opinion/Discussion,Monolog
Economics In Ten,spotify:show:44pI1bcAKbrA2fLZpwJF4X,Documentary,Dialog
Double Helix History ,spotify:show:2tTA2xYpcS5YuTIXzXakTu,Science/Education,Dialog
Dose Makes The Poison: The Toxcast,spotify:show:1Zmkaj0XoQ1L4p4AhN6vq2,Science/Education,Dialog
Dictators ,spotify:show:5JwUl9pJUndHkbiiJTKRqg,Documentary,Cooperative-Monolog
Dark Geometry,spotify:show:5o6Yy2z9HQYSJp6cE3rOZn,Science/Education,Dialog
Cults,spotify:show:4JbxNUkWfveKC0xnKrK7tX,Documentary,Cooperative-Monolog
Criminal Prints,spotify:show:3ItnqUK5THAZKDrIPJg0PZ,Documentary,Monolog
Criminal Behaviorology,spotify:show:5VM7Sjv762u7nb91YWGczZ,Science/Education,Dialog
Crimes of Passion,spotify:show:5PFgy6lc8UvYIjDsaaO3dN,Documentary,Cooperative-Monolog
Could We Ever...,spotify:show:4lRu9gOpUpNCC0U8Z9lxwx,Science/Education,Dialog
Conspiracy Theories,spotify:show:5RdShpOtxKO3ZWohR2M6Sv,Documentary,Cooperative-Monolog
Conspiracy or Just a Coincidence?,spotify:show:1UatqcZAB1r5vrSRymy8Vt,Documentary,Monolog
Con Artists ,spotify:show:6s8xzsIn1JIvEv0X9sa7sb,Documentary,Cooperative-Monolog
Coffee Tea and AI,spotify:show:1vPaKxbc7SQGB5Eq57riQ8,News,Dialog
Climate Scientists,spotify:show:7dCPcUbvKCgnWzcZZa3jS6,Opinion/Discussion,Dialog
CBD Deep Dive,spotify:show:3S4neGTN11G0CbnJzvzK5s,Opinion/Discussion,Dialog
Carpool Chemistry,spotify:show:77XdGpeqbDUOlbAOe7FYhX,Science/Education,Monolog
Burks at Loyola - The Podcast,spotify:show:7f9WfvcDmxIsLdbQzPt3Lv,Science/Education,Monolog
Breaking Math Podcast,spotify:show:2All747WhUp3IdgLpPEf2i,Science/Education,Monolog
Brass Tacks History,spotify:show:2DInULXf5cYyAdI2TtZvLx,Science/Education,Dialog
Brainscape,spotify:show:4xm16tF5ib3w4FWWz0ZOAg,Science/Education,Dialog
Born Free Podcast,spotify:show:0sN3ojzN4M6Pa5jF9t6Ryo,Documentary,Dialog
Black History Buff Podcast,spotify:show:6CDExrHONAzUy8ksCgXsYy,Documentary,Monolog
Biology with Hash,spotify:show:1SHOuXdcSD5JBOfnRzJS4h,Science/Education,Monolog
Biology for Bastards,spotify:show:6hj26idFRLheiJslz2ozfQ,Science/Education,Monolog
Bigger Than Us,spotify:show:67nkmjyMAJwvJT77cZvxjI,Science/Education,Dialog
Beautiful Humans: The Social ChangeCast,spotify:show:35SrzscMDFPVC7OmKN3LAa,Opinion/Discussion,Dialog
Authentic Biochemistry,spotify:show:02oYQ2WL7raDmbW1DoA777,Science/Education,Monolog
Assassinations,spotify:show:0GV1EPX2lvNnkNwnzZgF3F,Documentary,Cooperative-Monolog
APUSH Deep Dives,spotify:show:26RaouKCzddDY60v4IbmAk,Science/Education,Monolog
Anthropological Theory: A podcast created by anthropology students,spotify:show:6aA7JmxyWRiRqtVXPAMajr,Science/Education,Dialog
Ancient Gods and Demons,spotify:show:1FZtvqXV7YGeqposmRXyHQ,Documentary,Monolog
Anarchopac,spotify:show:6G00ZFXRjlQBZOBSTRdeav,Science/Education,Dialog
American Girls,spotify:show:0q14aUbVF3rTacMkXccqPT,Documentary,Dialog
ABA Ultimate Showdown!,spotify:show:0FUV0bDwonUBhRdfdSHS0w,Science/Education,Dialog
A-Pod Cast For Killer Whales,spotify:show:5XVpwbZzmMhxk2yqDf6gTI,Science/Education,Monolog
A Tap On The Wrist,spotify:show:37krWy7JNymswooJ5SpEDv,Documentary,Dialog
10 Awesome New Inventions in USA that You'll Never Hear About .,spotify:show:1f0Kj9MZnk8zet8xtsyNDR,Science/Education,Dialog
Weird Historian,spotify:show:5EfzInmCgwmypFOAdOHbtu,Science/Education,Monolog
Villains ,spotify:show:5g3bKExpQ6rYwxTV4e0Tap,Documentary,Cooperative-Monolog
Unexplained Mysteries,spotify:show:1Xe0dRpQCrwi59H2CJWtYf,Documentary,Cooperative-Monolog
Today in True Crime ,spotify:show:2GmNzw8t4uG70rn4XG9zcC,Documentary,Cooperative-Monolog
The Hidden Tigers of Southeast Asia,spotify:show:5WRz5mhb28khsalbGvG2NA,Documentary,Cooperative-Monolog
The Genealogical Gentleman,spotify:show:1lXPX1ojco5UAcKA510xW4,Science/Education,Monolog
The Fantastic History Of Food,spotify:show:2CfNtOfcwbuHKaqDcx2sBc,Documentary,Monolog
The Dark Side Of,spotify:show:0at0IZJtlav1KQDxaTsmj6,Science/Education,Cooperative-Monolog
The Cyclo Edition,spotify:show:0ZzTZLzFbCy5HG3sxfysPB,Science/Education,Dialog
The Blood Evidence,spotify:show:4ymYkiDhznGzvJjYGrcchO,Documentary,Monolog
Science Vs,spotify:show:5lY4b5PGOvMuOYOjOVEcb9,Science/Education,Monolog
Science Denial,spotify:show:3lGjQDn7xiZdiTEwTbkjjL,Science/Education,Monolog
Revving Up History,spotify:show:2JqBhaixuo5VwB1i6rBAEP,Science/Education,Monolog
Evolving with Mr. V,spotify:show:1vw49bYmLK4vecIvJswlnZ,News,Monolog
Queen V: The Life of Queen Victoria,spotify:show:11HFht21srz4Z9FxhDh49l,Documentary,Cooperative-Monolog
Haunted Places,spotify:show:72EZYVXVAzjJH9UGgeQ2hH,Documentary,Cooperative-Monolog
Germs and Worms,spotify:show:42pDXkLaJQdzsAxONmRWBR,Science/Education,Dialog
Not Guilty,spotify:show:0tnf9RnSMzA82ZVWMZ0sWE,Documentary,Cooperative-Monolog
Serial Killers,spotify:show:4ruq7mH0jg1sFi8KQhnGb8,Documentary,Cooperative-Monolog
