Show;Genre;Conversation Type
#5 Things;Discussion;Dialog
10 Awesome New Inventions in USA that You'll Never Hear About .;Science/Education;Dialog
22 Yarns with Gaurav Kapur;Discussion;Dialog
3Bawls Basketball Podcast;Discussion;Dialog
A Tap On The Wrist;Documentary;Dialog
A-Pod Cast For Killer Whales;Science/Education;Monolog
ABA Ultimate Showdown!;Science/Education;Dialog
AI Ireland Podcast;Documentary;Dialog
AllDatNoise Podcast;Discussion;Dialog
American Girls;Documentary;Dialog
Anarchopac;Science/Education;Dialog
Ancient Gods and Demons;Documentary;Monolog
Anthropological Theory: A podcast created by anthropology students;Science/Education;Dialog
APUSH Deep Dives;Science/Education;Monolog
Assassinations;Documentary;Cooperative-Monolog
Authentic Biochemistry;Science/Education;Monolog
Autonomous Cars with Marc Hoag;News;Monolog
Beautiful Humans: The Social ChangeCast;Discussion;Dialog
Behind the Bull;Discussion;Dialog
Bigger Than Us;Science/Education;Dialog
Biology for Bastards;Science/Education;Monolog
Biology with Hash;Science/Education;Monolog
BirdsoverBoys Podcast;News;Dialog
Black History Buff Podcast;Documentary;Monolog
Born Free Podcast;Documentary;Dialog
Brainscape;Science/Education;Dialog
Brass Tacks History;Science/Education;Dialog
Breaking Math Podcast;Science/Education;Monolog
Browns part ways with general manager John Dorsey;News;Monolog
Bruins Take by CCSN;Discussion;Monolog
Burks at Loyola - The Podcast;Science/Education;Monolog
Carlos and Marc\u2019s Podcast;Discussion;Dialog
Carpool Chemistry;Science/Education;Monolog
CBD Deep Dive;Discussion;Dialog
Climate Scientists;Discussion;Dialog
Coast 2 Coast Fantasy Football;Discussion;Dialog
Coffee Tea and AI;News;Dialog
Con Artists ;Documentary;Cooperative-Monolog
Conspiracy or Just a Coincidence?;Documentary;Monolog
Conspiracy Theories;Documentary;Cooperative-Monolog
Conviction;Documentary;Cooperative-Monolog
Could We Ever...;Science/Education;Dialog
crack-a-can;News;Dialog
Crimes of Passion;Documentary;Cooperative-Monolog
Crimetown;Documentary;Cooperative-Monolog
Criminal Behaviorology;Science/Education;Dialog
Criminal Prints;Documentary;Monolog
Cults;Documentary;Cooperative-Monolog
Dark Geometry;Science/Education;Dialog
Dictators ;Documentary;Cooperative-Monolog
Dose Makes The Poison: The Toxcast;Science/Education;Dialog
Double Helix History ;Science/Education;Dialog
Economics In Ten;Documentary;Dialog
EMT A to Z ;Discussion;Monolog
Espionage;Documentary;Cooperative-Monolog
Ethan and Mike's Sports Show;Discussion;Dialog
Evolving with Mr. V;News;Monolog
Extraterrestrial;Documentary;Cooperative-Monolog
Famous Fates;Documentary;Cooperative-Monolog
Fan Wonderland;Discussion;Dialog
Female Criminals;Documentary;Cooperative-Monolog
Fictorical;Documentary;Dialog
Flip the Switch;Discussion;Dialog
For The Culture;News;Dialog
For Whom the Cell Tolls: Biology, Cancer, and Other Stories About Life;Science/Education;Monolog
Forensic Psychology;Science/Education;Dialog
From the Earth to the Moon: A Retrospective Podcast on The Apollo Program;Documentary;Dialog
Germs and Worms;Science/Education;Dialog
GONE;Documentary;Cooperative-Monolog
Great Women of Business;Documentary;Cooperative-Monolog
Haunted Places;Documentary;Cooperative-Monolog
Historia Obscura;Documentary;Cooperative-Monolog
Historical Figures;Documentary;Cooperative-Monolog
History Does You;Science/Education;Dialog
History Under Your Feet;Documentary;Monolog
Hostage;Documentary;Cooperative-Monolog
I Believe USMNT Podcast;News;Dialog
Immersive Chemistry Podcast;Science/Education;Dialog
Improbable Research;Science/Education;Dialog
Indirect Message;Science/Education;Monolog
InfoCast 5000;Science/Education;Dialog
Jemele Hill is Unbothered;Discussion;Dialog
Just Talk'n Sports;News;Dialog
Kingpins;Documentary;Cooperative-Monolog
Latest news update.;News;Monolog
Launch Escape: Space Podcast;Science/Education;Monolog
Let's Talk Sport;News;Dialog
Long Lost: An Investigative History Series;Documentary;Cooperative-Monolog
Love Will Tear Us Apart;Documentary;Cooperative-Monolog
Mardi Gras Beyond The Beads;Science/Education;Dialog
Medical Mysteries ;Documentary;Cooperative-Monolog
Mr. America;Discussion;Monolog
Natural Disasters ;Documentary;Cooperative-Monolog
Nfl weekly news;News;Monolog
NinjAnatomy;Science/Education;Monolog
Not Guilty;Documentary;Cooperative-Monolog
Oldest Stories;Documentary;Monolog
One Nil Football Podcast;Discussion;Dialog
Parcast Presents: March Mysteries;Documentary;Cooperative-Monolog
Podkarsh with H;Discussion;Dialog
Political Scandals;Documentary;Cooperative-Monolog
Pwns Media;Discussion;Dialog
Queen V: The Life of Queen Victoria;Documentary;Cooperative-Monolog
Red Tail Talk Show;News;Dialog
Revving Up History;Science/Education;Monolog
Run The Fade;Discussion;Dialog
Science Denial;Science/Education;Monolog
Science Vs;Science/Education;Monolog
Secret Societies ;Documentary;Cooperative-Monolog
Serial Killers;Documentary;Cooperative-Monolog
Sports Criminals ;Documentary;Cooperative-Monolog
Survival;Documentary;Cooperative-Monolog
Technology Labs;News;Dialog
The Blood Evidence;Documentary;Monolog
The Cut on Tuesdays;Discussion;Dialog
The Cyclo Edition;Science/Education;Dialog
The Dark Side Of;Science/Education;Cooperative-Monolog
The Fantastic History Of Food;Documentary;Monolog
The Genealogical Gentleman;Science/Education;Monolog
The Hand-off;Discussion;Dialog
The Hidden Tigers of Southeast Asia;Documentary;Cooperative-Monolog
The Miami Corridor Podcast;News;Monolog
The Michael Decon Program;News;Dialog
The Mister(ess) of Pop Culture \ud83d\udda4;Discussion;Monolog
The Nerd^2 Pod;Discussion;Dialog
The Whole 9 Yards;Discussion;Dialog
Today in True Crime ;Documentary;Cooperative-Monolog
TwinTalkYanks;News;Dialog
Tyrone Eagle Eye News Podcasts;News;Dialog
Uncivil;Documentary;Cooperative-Monolog
Undone;Documentary;Cooperative-Monolog
Unexplained Mysteries;Documentary;Cooperative-Monolog
Up-to-the-minute NBA news.;News;Monolog
Usa Today Sports news;News;Dialog
Villains ;Documentary;Cooperative-Monolog
Waterloo Warriors Armchair Quarterback;News;Dialog
Weakly Update;News;Dialog
Weird Historian;Science/Education;Monolog
What's Trending?;Discussion;Dialog
Without A Country;Discussion;Dialog
