Name;URI;Genre;Tags;Category;Relevance;Description
A Tap On The Wrist;spotify:show:37krWy7JNymswooJ5SpEDv;History;;;Yes;"The scandalous history of alcohol; the people who established it and the crimes committed."
ABA Ultimate Showdown!;spotify:show:0FUV0bDwonUBhRdfdSHS0w;Science;;;Yes;"Welcome to ABA Ultimate Showdown! - a podcast promoting constructive, respectful, and professional discourse to advance the field of behavior analysis.
We use a structured debate format to achieve several goals:
~ Encourage respectful conversations among professionals in all settings
~ Advance a deeper knowledge about critical topics in our field through research presented from multiple perspectives
~ Promote civility and an understanding of perspectives that differ from your own
~Model a user friendly format for the education of future behavior analysts and those who organize conferences Support this podcast: <a href=""https://anchor.fm/abashowdown/support"" rel=""payment"">https://anchor.fm/abashowdown/support</a>"
Espionage;spotify:show:4HL2j5zc7B3ywwxzvtCszF;History, Society & Culture, True Crime;;;Yes;Not all spies look like James Bond and Ethan Hunt. Most of them look like ordinary people, which makes them all the more dangerous... So what does it really take to be a spy? Every week, we cover a real-life spy mission: the stakes, the deception, the gadgets, and how it changed the course of history. Each two-part series follows one mission of a historic spy, and if they made it out alive. Espionage is a production of Cutler Media and part of the Parcast Network.
Climate Scientists;spotify:show:7dCPcUbvKCgnWzcZZa3jS6;Science;;;Yes;"Informal conversations with climate-relevant researchers

[Any opinions expressed do not necessarily reflect those of our employers or funders]"
Parcast Presents: March Mysteries;spotify:show:3j3GybU9u03zLYqLUOSfPB;History, Society & Culture, True Crime;;;Yes;When it comes to crime, some names stand out above the rest. The more wicked, the more well-known… Throughout the month of July, we’re bringing you the notorious killers, perplexing mysteries, and jaw dropping events that have stood the test of time. Look closely at the headlines... This is Parcast Presents: Infamous. Listen all month long, free on Spotify or wherever you get your podcasts!
The Cyclo Edition;spotify:show:0ZzTZLzFbCy5HG3sxfysPB;Natural Sciences, Science;;;Yes;The Cyclo Edition is the podcast for those looking to go above and beyond in their understanding of organic chemistry literature. In each episode we break down a recently published paper and detail the background, explain the breakthrough, and analyze the broader impacts of the paper on the field.
Evolving with Mr. V;spotify:show:1vw49bYmLK4vecIvJswlnZ;Life Sciences, Science;;;Yes;An AP Biology Podcast that takes a deep dive into the week that was in AP Biology...with some additional extra content on the inner thoughts of Mr. V on current Movies, TV shows, and much much more!
Born Free Podcast;spotify:show:0sN3ojzN4M6Pa5jF9t6Ryo;Nature, Science;;;Yes;"Born Free is an international wildlife charity that works to ensure the survival of threatened species in the wild and protect natural habitats. Join us as we talk to inspiring wildlife conservationists, welfare activists, campaigners and biologists, to cover all things from the controversial nature of trophy hunting, to uncovering the personal stories that inspire a lifelong commitment to wildlife and habitat protection.
Follow us on Twitter @BornFreeFDN and Instagram @BornFreeFoundation"
Queen V: The Life of Queen Victoria;spotify:show:11HFht21srz4Z9FxhDh49l;History;;Documentary;Yes;"The Life of Queen Victoria - Victoria's father was Prince Edward, Duke of Kent and Strathearn, the fourth son of the reigning King of the United Kingdom, George III. Until 1817, Edward's niece, Princess Charlotte of Wales, was the only legitimate grandchild of George III. Her death in 1817 precipitated a succession crisis that brought pressure on the Duke of Kent and his unmarried brothers to marry and have children. In 1818 he married Princess Victoria of Saxe-Coburg-Saalfeld, a widowed German princess with two children—Carl (1804–1856) and Feodora (1807–1872)—by her first marriage to the Pri Support this podcast: <a href=""https://anchor.fm/lifeofqueenvictoria/support"" rel=""payment"">https://anchor.fm/lifeofqueenvictoria/support</a>"
Authentic Biochemistry;spotify:show:02oYQ2WL7raDmbW1DoA777;Natural Sciences, Science;;;Yes;"You have wisely landed upon Authentic Biochemistry, with Dr Daniel J Guerra, where published research and clinical science is interrogated. Support this podcast: <a href=""https://anchor.fm/dr-daniel-j-guerra/support"" rel=""payment"">https://anchor.fm/dr-daniel-j-guerra/support</a>"
Assassinations;spotify:show:0GV1EPX2lvNnkNwnzZgF3F;History, Society & Culture, True Crime;Professional;;Yes;"One death can change the world. At least, that's what assassins believe. Assassinations recounts history's most dramatic deaths.Through little-known facts, ""what-ifs?"" and examining assassin's motives, we examine how one murder can alter the course of history. A new episode releases every Monday. Assassinations is a production of Cutler Media and part of the Parcast Network."
Haunted Places;spotify:show:72EZYVXVAzjJH9UGgeQ2hH;Arts, History, True Crime;;;Yes;You’ve heard of haunted houses, haunted cemeteries, haunted islands...but do you know how a normal place can become a paranormal minefield? Every haunted place on earth has a frightening, real backstory. Every Thursday, we take you on an audio tour of a new haunted place, and its haunted history!
Political Scandals ;spotify:show:2KBfl8eidzorW02RzQf9K8;History, News, True Crime;;Documentary;Yes;Discover how fast controversy can move up in the polls in Parcast’s new limited series, Political Scandals. From greed and lust to deceit and cover-ups, we’ll unpack the most shocking events in American history—all leading up to the 2020 election. Every Tuesday, join us as we breakdown the rise and fall of our most infamous elected officials, measuring the impact it had on the country and history.
Natural Disasters ;spotify:show:2vPbtummXL9L4UbLiezZmh;History, Science, Society & Culture;;;Yes;Tsunamis, volcanoes, tornadoes, earthquakes...these are real-life monsters. We like to think we’re prepared for a catastrophe. But time and time again, Mother Nature proves us wrong. Each week, Natural Disasters examines the earth’s biggest catastrophes that took countless lives, destroyed communities, and toppled civilizations. Natural Disasters is a Parcast Original with new episodes released every Thursday.
Germs and Worms;spotify:show:42pDXkLaJQdzsAxONmRWBR;Science;;;Yes;Two physicians and microbiologists talk about all kinds of infections and microbes and their impact on human history.
A-Pod Cast For Killer Whales;spotify:show:5XVpwbZzmMhxk2yqDf6gTI;Natural Sciences, Science;;;Yes;A-Pod Cast for Killer Whales with host Alison Morrow explores the challenges facing the survival of the J, K, and L-Pod Southern Resident killer whales, the 73 orcas on the brink of extinction.
Not Guilty;spotify:show:0tnf9RnSMzA82ZVWMZ0sWE;History, Society & Culture, True Crime;;Documentary;Yes;What defines guilt? Should we judge the accused based on the evidence found against them? Or by the decision made about them by a jury of their peers? Each week we look at complicated criminal cases, where the evidence and the verdict don’t always line up, testing the limits of “innocent until proven guilty.” Not Guilty is a production of Cutler Media and part of the Parcast Network.
Love Will Tear Us Apart;spotify:show:1e9xn088BCUUErPjgKqzf7;History;;Documentary;Yes;"Were Gene Wilder and Gilda Radner truly soul mates? Did Frida Kahlo and Diego Rivera fuel each other’s work? Was Mary Austin Freddie Mercury’s greatest love?

These stories are what inspired this podcast, Love Will Tear Us Apart.

I hope you’ll join me on my journey to uncover the complicated, passionate and sometimes scandalous stories behind our favorite couples."
Beautiful Humans: The Social ChangeCast;spotify:show:35SrzscMDFPVC7OmKN3LAa;Science, Social Sciences;;;Yes;The Social ChangeCast is a podcast started by two behavior analysts who are passionate about bridging behavioral science and social justice. Together, they bring you weekly conversations about current events around hard topics such as racism, sexism, hetero-sexism and all forms of oppression.
EMT A to Z ;spotify:show:7De6851EDFeLKZx4CFACCx;Science;;;Yes;I am a nurse and medic who values continued education. I go over all the necessary skills needed to take care of your patient in almost any pre-hospital medical condition. I created this to give you a quick reference and refresher on pre-hospital skills needed for EMT, Paramedic, Medic, Nurses, Doctors etc.
10 Awesome New Inventions in USA that You'll Never Hear About .;spotify:show:1f0Kj9MZnk8zet8xtsyNDR;Science;;Science;Yes;Our experts explain the current science and technology trends & concerns.
GONE;spotify:show:1P5ywuAliiRdTKbZPTvf2p;History, Society & Culture, True Crime;;;Yes;"Have you ever spent hours looking for something you simply lost? How about a hundred years? How about looking for a missing airplane? Or a vanished civilization? Every other Monday, Gone searches for everything lost. From D. B. Cooper to the Holy Grail, the Etruscan language to early Russian cosmonauts; if it disappeared, we’re looking. After all, just because something is gone, doesn’t mean it can’t be found. Gone is a production of Cutler Media and part of the Parcast Network."
Serial Killers;spotify:show:4ruq7mH0jg1sFi8KQhnGb8;History, Society & Culture, True Crime;;Documentary;Yes;Every Monday and Thursday, Serial Killers takes a psychological and entertaining approach to provide a rare glimpse into the mind, methods and madness of the most notorious serial killers with the hopes of better understanding their psychological profile. With the help of in-depth research, we delve deep into their lives and stories. Serial Killers is part of the Parcast Network and is a Cutler Media Production.
Brass Tacks History;spotify:show:2DInULXf5cYyAdI2TtZvLx;History;;;Yes;Graham and Sam, your resident history buffs, dive headfirst into their new podcast which guarantees that you'll pass any history exam thrown your way.
Today in True Crime ;spotify:show:2GmNzw8t4uG70rn4XG9zcC;History, Society & Culture, True Crime;;;Yes;Crime never takes a day off, and neither does Parcast. Every day, we flip back the calendar and examine a true crime event from the same date. It might be the anniversary of an important case being solved, the end of a landmark trial, or a serial killer’s birthday-- whatever the date, there’s no ordinary day in true crime history. In each episode, we present a short true crime story, then analyze the impact of that historic day’s events. Today in True Crime is a Parcast Original, with new episodes daily.
InfoCast 5000;spotify:show:6BMPiOePTJBEL1MpvjOrJn;History;;;Yes;"Interesting facts about familiar pieces of everyday life! Beren &amp; Sam take you on a journey through the history of items you use every day, but may not know the story behind.."
Famous Fates;spotify:show:4r157jjrIV0bzS6UxhN07i;History, Society & Culture, True Crime;;;Yes;Reaching the greatest heights can also mean falling the furthest. Every Wednesday, Famous Fates: Falls From Grace tracks two famous meteoric rises and the spectacular demises that followed, from star athletes and powerful politicians to Hollywood A-listers and genius writers. We break down how they built their empires only to lose it all – and whether or not they got a chance at redemption. Famous Fates is only available on Spotify!
Undone;spotify:show:1DpjNPz2R1uJoBABi8TAMm;History, News, Personal Journals, Society & Culture;;;Yes;"When big news happens, the world tunes in and then moves on. But often the stories we thought were over haven’t really ended; they were the beginning of something else. Undone is a new show from Gimlet Media that digs up the surprising things that happened when we weren’t looking."
Carpool Chemistry;spotify:show:77XdGpeqbDUOlbAOe7FYhX;Science;;;Yes;"Everywhere you scroll there is misinformation and fake news perpetuated by people who are ignorant or are scam artists. Koleton combats the growing idiocracy with the actual facts and science. So come fill your brain hole with some knowledge and hopefully fill your soul hole with some entertainment in Carpooling with Chemistry.

Koleton is a PhD student at Utah State University in Biochemistry."
The Dark Side Of;spotify:show:0at0IZJtlav1KQDxaTsmj6;History, Society & Culture, True Crime;;;Yes;Most people have no idea what's hiding behind their favorite things. We dig deep into everything from charities to the Founding Fathers to the Bible, and turn up disturbing stories and salacious details. From the Space Race to the Wizard of Oz, there might just be a dark side to everything. The Dark Side Of​ is a production of Cutler Media and part of the Parcast Network.
Cults;spotify:show:4JbxNUkWfveKC0xnKrK7tX;History, Society & Culture, True Crime;;;Yes;Mystery. Manipulation. Murder. Cults are associated with all of these. But what really goes on inside a cult? More specifically, what goes on inside the minds of people who join cults and leaders who start them? Every Tuesday, Greg and Vanessa (co-hosts of the podcast Serial Killers) explore the history and psychology behind the most notorious cults. Cults is part of the Parcast Network and is a Cutler Media production.
Oldest Stories;spotify:show:5PGrkXrRpTug5N4r1FRf4Y;History;;Documentary, Stories;Yes;This show is focused on the history and myth of the Cradle of Civilization, bronze age Mesopotamia, beginning with the dawn of writing. The show will cover the full history of Mesopotamia, from Gilgamesh to Nabonidas, a span of some 2500 years, with myths of heroes and gods, and tales of daily life peppered throughout. New episodes every Wednesday. Online at oldeststories.net. I hang at a discord at https://discord.gg/q8XPnpg
