document,dm_count_doc,word_count_doc,dm_words_perc,dm_sentences,sentence_count_doc,dm_sentences_perc,dm_count_min,dm_count_max,dm_count_mean,dm_count_median
show_5XVpwbZzmMhxk2yqDf6gTI/0pVyJZNrcHTUMDFBp31XJB.txt/000000000,398.0,3927.0,10.134963076139547,112.0,160.0,70.0,1.0,14.0,3.5535714285714284,3.0
show_5XVpwbZzmMhxk2yqDf6gTI/01bQwY6YGzQ2iXrEVBACgv.txt/000000001,362.0,4107.0,8.814219625030436,122.0,184.0,66.30434782608695,1.0,16.0,2.9672131147540983,3.0
show_5XVpwbZzmMhxk2yqDf6gTI/0BjKrxbeqrqej8PVG3jngN.txt/000000002,368.0,4211.0,8.739016860603183,114.0,146.0,78.08219178082192,1.0,12.0,3.2280701754385963,2.0
show_5XVpwbZzmMhxk2yqDf6gTI/7rYYWdDUf35tMSw1UrFeFb.txt/000000003,374.0,3855.0,9.701686121919584,107.0,132.0,81.06060606060606,1.0,13.0,3.4953271028037385,3.0
show_5XVpwbZzmMhxk2yqDf6gTI/6lUvf6zrVLimkZg3uK25K3.txt/000000004,468.0,5145.0,9.096209912536443,141.0,201.0,70.14925373134328,1.0,14.0,3.3191489361702127,2.0
show_5XVpwbZzmMhxk2yqDf6gTI/3pqfxYAgAsArEeVHjzg0E8.txt/000000005,419.0,4251.0,9.856504351917195,119.0,177.0,67.2316384180791,1.0,14.0,3.5210084033613445,2.0
show_1vw49bYmLK4vecIvJswlnZ/7r3NTyccSomeU0swhmI2ob.txt/000000006,287.0,3645.0,7.873799725651578,102.0,156.0,65.38461538461539,1.0,13.0,2.8137254901960786,2.0
show_1vw49bYmLK4vecIvJswlnZ/3RqptDWp6Gio7VAUTXMDLS.txt/000000007,295.0,3562.0,8.28186412128018,90.0,134.0,67.16417910447761,1.0,13.0,3.2777777777777777,2.0
show_1vw49bYmLK4vecIvJswlnZ/20nNmbvoGjhIlw8xHke5Be.txt/000000008,288.0,3350.0,8.597014925373134,92.0,122.0,75.40983606557377,1.0,14.0,3.130434782608696,2.0
show_1vw49bYmLK4vecIvJswlnZ/0z4xdeLgEDmaoKzRXdQs8i.txt/000000009,250.0,2677.0,9.338812103100485,75.0,95.0,78.94736842105263,1.0,11.0,3.3333333333333335,3.0
show_1vw49bYmLK4vecIvJswlnZ/3knrSC2Um9NRbc3w7U8Dzs.txt/000000010,352.0,3655.0,9.630642954856361,112.0,148.0,75.67567567567568,1.0,14.0,3.142857142857143,3.0
show_1vw49bYmLK4vecIvJswlnZ/77jeIAV91UIOBsEQxH3hAd.txt/000000011,268.0,2847.0,9.413417632595715,78.0,100.0,78.0,1.0,16.0,3.4358974358974357,2.5
show_1vw49bYmLK4vecIvJswlnZ/7IYGRuwM0dsyZE4ejvBvbk.txt/000000012,353.0,4160.0,8.485576923076923,130.0,205.0,63.41463414634146,1.0,14.0,2.7153846153846155,2.0
show_1vw49bYmLK4vecIvJswlnZ/6y0WrKoxXsjwjnsG3RCDbC.txt/000000013,275.0,3194.0,8.609893550407014,102.0,138.0,73.91304347826087,1.0,8.0,2.696078431372549,2.0
show_1vw49bYmLK4vecIvJswlnZ/4pktQJjrJNF08ETtaUr3dA.txt/000000014,311.0,3583.0,8.679877197878872,117.0,196.0,59.69387755102041,1.0,12.0,2.658119658119658,2.0
show_1vw49bYmLK4vecIvJswlnZ/0gCC99DJpOPPXSFqIshorw.txt/000000015,260.0,3044.0,8.541392904073588,80.0,99.0,80.8080808080808,1.0,13.0,3.25,2.0
show_1vw49bYmLK4vecIvJswlnZ/1mW5qcpJhMbGemnBVCc82n.txt/000000016,266.0,3018.0,8.81378396288933,101.0,177.0,57.06214689265537,1.0,12.0,2.633663366336634,2.0
show_1vw49bYmLK4vecIvJswlnZ/7tmfrl7bzqO4arvvNHypQ9.txt/000000017,336.0,3842.0,8.745445080687142,117.0,158.0,74.0506329113924,1.0,13.0,2.871794871794872,2.0
show_1vw49bYmLK4vecIvJswlnZ/0ZhfLrtVEMBBfWahdNfjUa.txt/000000018,223.0,2599.0,8.580223162754907,79.0,97.0,81.44329896907216,1.0,13.0,2.8227848101265822,2.0
show_1vw49bYmLK4vecIvJswlnZ/34mLhvCuzuDFubd42mv6IY.txt/000000019,254.0,2712.0,9.365781710914455,66.0,89.0,74.15730337078652,1.0,16.0,3.8484848484848486,3.0
show_1vw49bYmLK4vecIvJswlnZ/4w9M00QDTNQM4FWslxpJS4.txt/000000020,366.0,4367.0,8.381039615296542,118.0,174.0,67.816091954023,1.0,14.0,3.1016949152542375,2.0
show_1vw49bYmLK4vecIvJswlnZ/6jwlxdsLWuZPXELo8RCraj.txt/000000021,211.0,2458.0,8.584214808787632,75.0,107.0,70.09345794392523,1.0,11.0,2.8133333333333335,2.0
show_1vw49bYmLK4vecIvJswlnZ/2wtNgNsyMePCi5w96qYNK2.txt/000000022,270.0,3366.0,8.02139037433155,111.0,158.0,70.25316455696202,1.0,9.0,2.4324324324324325,2.0
show_1vw49bYmLK4vecIvJswlnZ/6VgTyRbI9D5WlAHU7zRBGM.txt/000000023,249.0,3357.0,7.41733690795353,84.0,123.0,68.29268292682927,1.0,13.0,2.9642857142857144,2.0
show_1vw49bYmLK4vecIvJswlnZ/52OoiGCJsX6Z9qZG31sJXO.txt/000000024,457.0,4697.0,9.729614647647434,147.0,200.0,73.5,1.0,20.0,3.108843537414966,2.0
show_1vw49bYmLK4vecIvJswlnZ/25OsYoBhkfXoM0lsTaezu9.txt/000000025,58.0,734.0,7.901907356948229,22.0,26.0,84.61538461538461,1.0,7.0,2.6363636363636362,2.0
show_1vw49bYmLK4vecIvJswlnZ/65dGZxlZolOSRjpPng5Vyz.txt/000000026,371.0,4229.0,8.772759517616457,112.0,135.0,82.96296296296296,1.0,17.0,3.3125,2.0
show_77XdGpeqbDUOlbAOe7FYhX/7oU6IJ9PiuTb9pl22QwvaG.txt/000000027,1085.0,11449.0,9.476810201764346,422.0,632.0,66.77215189873418,1.0,11.0,2.571090047393365,2.0
show_5EfzInmCgwmypFOAdOHbtu/1LvsdtK80XOwXCtAuzwOfm.txt/000000028,86.0,1377.0,6.245461147421932,42.0,70.0,60.0,1.0,7.0,2.0476190476190474,2.0
show_37krWy7JNymswooJ5SpEDv/1Pwac979FMGeITlLKWsMDs.txt/000000029,841.0,8340.0,10.083932853717027,275.0,424.0,64.85849056603773,1.0,16.0,3.058181818181818,2.0
show_3IZ9inzkM6YjDv1lEuCcig/2TLzHP3JCXF2aGYFwKJ30c.txt/000000030,493.0,6877.0,7.168823614948379,203.0,302.0,67.21854304635761,1.0,11.0,2.4285714285714284,2.0
