document,dm_count_doc,word_count_doc,dm_words_perc,dm_sentences,sentence_count_doc,dm_sentences_perc,dm_count_min,dm_count_max,dm_count_mean,dm_count_median,dm_pos_sent_begin,dm_pos_sent_middle,dm_pos_sent_end
JinsopLee.txt/000000000,110.0,1380.0,7.971014492753623,1.0,1.0,100.0,110.0,110.0,110.0,110.0,14.0,75.0,21.0
BillGates.txt/000000001,114.0,1601.0,7.12054965646471,1.0,1.0,100.0,114.0,114.0,114.0,114.0,19.0,67.0,28.0
TrionaMcGrath.txt/000000002,91.0,1268.0,7.176656151419558,1.0,1.0,100.0,91.0,91.0,91.0,91.0,13.0,64.0,14.0
TomHoney.txt/000000003,217.0,2393.0,9.068115336397828,1.0,1.0,100.0,217.0,217.0,217.0,217.0,34.0,156.0,27.0
FrancesLarson.txt/000000004,185.0,2246.0,8.236865538735529,1.0,1.0,100.0,185.0,185.0,185.0,185.0,26.0,128.0,31.0
BillFord.txt/000000005,314.0,3026.0,10.376734963648381,1.0,1.0,100.0,314.0,314.0,314.0,314.0,61.0,206.0,47.0
JunoMac.txt/000000006,283.0,3237.0,8.74266295953043,1.0,1.0,100.0,283.0,283.0,283.0,283.0,40.0,206.0,37.0
SalvatoreIaconesi.txt/000000007,98.0,1078.0,9.090909090909092,1.0,1.0,100.0,98.0,98.0,98.0,98.0,18.0,65.0,15.0
DrewBerry.txt/000000008,143.0,1768.0,8.088235294117647,1.0,1.0,100.0,143.0,143.0,143.0,143.0,23.0,100.0,20.0
AmitSood.txt/000000009,78.0,1017.0,7.669616519174041,1.0,1.0,100.0,78.0,78.0,78.0,78.0,19.0,50.0,9.0
BenGoldacre.txt/000000010,210.0,2877.0,7.299270072992701,1.0,1.0,100.0,210.0,210.0,210.0,210.0,43.0,143.0,24.0
LizColeman.txt/000000011,187.0,2337.0,8.001711596063329,1.0,1.0,100.0,187.0,187.0,187.0,187.0,29.0,131.0,27.0
NancyEtcoff.txt/000000012,223.0,2573.0,8.666925767586475,1.0,1.0,100.0,223.0,223.0,223.0,223.0,27.0,155.0,41.0
TimJackson.txt/000000013,256.0,3263.0,7.845540913269997,1.0,1.0,100.0,256.0,256.0,256.0,256.0,47.0,175.0,34.0
MandyLenCatron.txt/000000014,220.0,2140.0,10.280373831775702,1.0,1.0,100.0,220.0,220.0,220.0,220.0,35.0,149.0,36.0
SteveJurvetson.txt/000000015,37.0,570.0,6.491228070175438,1.0,1.0,100.0,37.0,37.0,37.0,37.0,7.0,25.0,5.0
CharmianGooch.txt/000000016,204.0,2272.0,8.97887323943662,1.0,1.0,100.0,204.0,204.0,204.0,204.0,28.0,139.0,37.0
DennisHong.txt/000000017,243.0,2851.0,8.523325149070502,1.0,1.0,100.0,243.0,243.0,243.0,243.0,40.0,165.0,38.0
