,Monolog,Dialog,Cooperative Monolog
and,0.001869677597089542,0.002054192225398645,0.0022867480488988064
for,0.0008970266116769435,0.0009270565953098911,0.001125658414034981
with,0.0006239010833191537,0.0005867086286753842,0.000711958207595787
or,0.00038487404490467276,0.0005333067510653674,0.0003261688096869733
as,0.00037677143343299547,0.0003837814937573205,0.0006025633441614349
so,0.0003528012078292834,0.0002798258386764879,0.00011117805397934863
but,0.000235988559112602,0.0001844144840132579,0.000202973602034822
then,0.00012862895711287747,0.00014382905702964516,0.0
when,0.0001249152601883587,9.541135466322996e-05,0.0001150545551641237
because,0.00012187678088647972,7.689870375842414e-05,0.0
though,7.967567947149366e-05,0.0,0.00015885901855208185
else,7.900046184885389e-05,0.0,0.0
next,7.596198254697489e-05,0.00010751578025483376,0.00016056467907338287
before,7.29235032450959e-05,0.0,0.00010482059203631754
if,7.224828562245612e-05,8.117085396722549e-05,0.0
later,0.0,7.974680389762504e-05,0.00015467239727252479
yet,0.0,7.333857858442303e-05,8.729880668113429e-05
after,0.0,7.333857858442303e-05,0.00017165147246183952
instead,0.0,0.0,8.388748563853224e-05
