,Monolog,Dialog,Cooperative Monolog
and,0.021926004251170153,0.02158361487989918,0.020130593122513175
but,0.0049358408214967685,0.003799365585693993,0.004262833292849739
for,0.004757583369119868,0.005369380787428486,0.0062132560989574615
with,0.003983783973574683,0.004143273677502501,0.004955098874426869
so,0.0034506996605005794,0.002895805816532509,0.0008951616535882562
because,0.003377100939632844,0.002333306039040333,0.0
as,0.0024939162892200157,0.0026871824813360437,0.004524807242916837
or,0.0024915530275407766,0.0030787962504761667,0.0020895116686174514
when,0.0023227486218808323,0.0019181954437518024,0.0017536516059685403
if,0.001969272196428909,0.002034255524424239,0.0011297675052908426
then,0.0016370651260901388,0.0016704107316413246,0.0007760755371919665
also,0.0007457778642056335,0.0008352053658206623,0.0005870573394223346
still,0.0006451704384323068,0.0005397149763785695,0.000675131446340424
before,0.0005516527976966977,0.0,0.0008232137915988311
after,0.0004547590688478897,0.0005361548512045684,0.0014485709627267433
next,0.0,0.0004720725980725482,0.0
while,0.0,0.0,0.0006935060619562577
