,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,19.45359638779443,14.001327182764665,28.284755282284745,5.452269205029765,8.831158894490315,14.28342809952008
so,6.46631771687134,11.485637219530634,11.080505396790148,5.019319502659293,4.614187679918809,0.405131822740485
but,6.264137739303827,4.507301652750576,7.5643936765256985,1.7568360865532502,1.3002559372218716,3.057092023775122
for,3.7050415576198557,0.9314117101329762,6.808366528334883,2.7736298474868795,3.1033249707150277,5.876954818201908
with,3.4194395712902512,2.525783424389238,5.390896010585388,0.8936561469010131,1.9714564392951373,2.86511258619615
because,3.4361968306922432,4.981651376146789,4.2297603020166825,1.5454545454545454,0.7935634713244395,0.7518910741301059
as,2.2062542540239476,0.767459540253582,3.1293055189292476,2.9737137942775296,0.9230512649053,3.8967650591828296
when,2.4848101387171306,2.0900121980551836,3.1621442814380956,0.39479794066194684,0.6773341427209651,1.072132083382912
or,1.5428565950552664,1.4472262309727522,3.02750905633666,0.09563036408251424,1.4846524612813936,1.5802828253639079
if,1.6410610374545838,1.6544514311239389,2.718011353384502,0.013390393669355127,1.0769503159299183,1.0635599222605632
then,1.5167908122669276,2.0399701061746214,2.385654207553193,0.5231792939076937,0.8688633952862655,0.34568410137857186
also,0.6772981315847497,0.4304710854551077,1.2591893479900254,0.246827046129642,0.5818912164052756,0.8287182625349176
still,0.7804012922646266,0.5303748754423943,0.9565110781088797,0.2500264168222324,0.17610978584425296,0.4261362026664854
before,0.5235780775167046,0.1700769680101708,0.8989252684515632,0.3535011095065338,0.3753471909348586,0.7288483004413924
after,0.40860678918255633,0.46360770367316095,0.6094139636451119,0.8722144928557173,0.20080717446255553,1.0730216673182729
while,0.0,0.702247191011236,0.0,0.702247191011236,0.0,0.702247191011236
