,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,94.68916625923902,78.02089990722607,133.67336581123033,16.66826635201295,38.9841995519913,55.65246590400425
so,27.90780631369053,51.48333934645913,50.023109272855976,23.5755330327686,22.115302959165447,1.4602300736031548
but,28.56722556153116,20.192742157165927,38.04306328563431,8.374483404365233,9.475837724103153,17.850321128468387
for,18.94059225599877,4.618883792048926,29.115921109245093,14.321708463949843,10.175328853246324,24.497037317196167
with,15.95810685149502,4.329197161804625,24.206419705108097,11.628909689690394,8.248312853613077,19.87722254330347
because,17.825582621533272,27.204892966360855,23.43535186701643,9.379310344827585,5.609769245483157,3.7695410993444276
when,12.227603462655662,10.417289454695393,16.9670502019459,1.8103140079602689,4.739446739290236,6.549760747250505
as,9.642403152052,4.224908085077139,15.471100686107143,13.867311237129138,5.828697534055142,19.69600877118428
if,8.366953303998542,11.88505910043638,14.868871647536167,3.5181057964378377,6.501918343537624,2.9838125470997863
or,7.287672677422757,9.156860976531629,15.195214367999556,1.8691882991088722,7.9075416905767995,6.038353391467927
then,6.945548493476364,9.726029103528846,12.280179692524069,2.780480610052482,5.334631199047705,2.554150588995223
also,3.0581806677978776,2.2708698415970865,5.217426103531393,0.7873108262007911,2.1592454357335154,2.9465562619343064
still,3.3417790687642004,1.619218809057486,5.068231342558537,1.7225602597067144,1.7264522737943366,3.449012533501051
before,2.7571251905323404,0.19551678521114635,3.682678917588493,2.9526419757434867,0.9255537270561528,3.878195702799639
after,1.5243545866766368,4.969968731745868,3.005695198175316,6.494323318422505,1.4813406114986791,7.9756639299211844
while,0.0,4.099250936329588,0.0,4.099250936329588,0.0,4.099250936329588
