,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,0.00044844171951078163,0.00296171588945366,0.002557238112437535,0.0025132741699428786,0.0030056798319483165,0.005518954001891195
so,0.0007589403034967248,0.005169258325050462,0.00152816223964516,0.0059281986285471865,0.002287102543141885,0.0036410960854053017
but,0.0010887136086469703,0.0007903418708249971,0.0011558983594327343,0.0002983717378219732,6.718475078576393e-05,0.0003655564886077371
for,0.0001332362896774653,0.0013325859873902874,7.576854963888945e-05,0.0011993496977128221,5.746774003857584e-05,0.001256817437751398
with,0.00010167070464574355,0.0010452711739373645,0.0001864375113019355,0.0009436004692916209,8.476680665619194e-05,0.000858833662635429
because,0.0008729890813794585,0.0030033679855017274,0.0011902525267944314,0.002130378904122269,0.00031726344541497284,0.001813115458707296
when,0.00030548396025906937,0.0005561960551273776,0.0003139482561347641,0.00025071209486830824,8.464295875694732e-06,0.0002422477989926135
as,0.0002624302424179773,0.0018594957434198778,0.00034439120770708535,0.0015970655010019005,8.196096528910804e-05,0.0015151045357127925
if,0.00038969732528091813,0.0008851971232384918,0.00011840111747610715,0.00127489444851941,0.000271296207804811,0.001003598240714599
or,0.000624487891806066,0.00043829219411497936,7.143284539241901e-05,0.0010627800859210454,0.000695920737198485,0.00036685934872256036
then,0.00019347637835782027,0.0007731256073555926,0.0002842965872363707,0.0009666019857134129,0.000477772965594191,0.0004888290201192219
also,0.0001289683916553025,1.341578442934355e-05,0.00010501509857657417,0.00011555260722595896,2.395329307872834e-05,9.159931414723062e-05
still,7.360471465040527e-05,5.599628749205121e-05,0.0002618152152966308,0.00012960100214245648,0.00018821050064622556,0.00031781150278868204
before,9.396034266782502e-05,0.0002840977129972515,8.156767644825619e-05,0.0003780580556650765,1.2392666219568837e-05,0.0003656653894455077
after,0.0001167888738274789,0.0010420144640178304,2.419293677996412e-05,0.0009252255901903516,9.259593704751478e-05,0.0010178215272378663
while,0.0,0.000678852887477808,0.0,0.000678852887477808,0.0,0.000678852887477808
