,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,7.891892669178338,3.127259217262825,4.764633451915513
for,4.043877560802584,1.3280976188021851,2.715779942000399
with,3.068304046475511,1.3522188434182043,1.7160852030573066
or,1.1382761496649505,1.5166692437205787,0.37839309405562815
as,1.7231888642834545,0.22573274232896967,1.9489216066124242
so,1.9637437328041565,2.524370339827509,0.5606266070233525
but,1.3257024531937533,0.9119592481874719,0.41374320500628137
then,0.5319087745535072,1.165137614678899,0.6332288401253918
when,0.7114357750232474,0.4367419166408961,0.2746938583823512
because,0.7654175414377882,1.1039755351681957,0.3385579937304075
though,0.7217125382262997,0.23755712469504864,0.9592696629213483
else,0.7155963302752294,0.7155963302752294,0.0
next,0.21471916252049117,0.28149589389410024,0.4962150564145914
before,0.6605504587155964,0.027591657217469034,0.6329588014981273
if,0.2970674796046514,0.654434250764526,0.3573667711598746
later,0.3510971786833856,0.9339887640449438,0.5828915853615582
yet,0.322884012539185,0.5271535580524345,0.2042695455132495
after,0.322884012539185,1.0365168539325842,0.7136328413933992
instead,0.0,0.5065543071161048,0.5065543071161048
