,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,103.58348432122555,77.05004209188057,26.533442229344985
but,27.982207395051432,18.9683752534103,9.013832141641132
for,19.45530279063971,5.576074631481291,13.87922815915842
with,17.844247600970153,6.16427859670824,11.679969004261913
so,18.507664433004514,25.85145002233447,7.343785589329952
because,20.317486794551016,30.59021406727829,10.272727272727273
as,10.759493064143493,4.732819640586879,15.492312704730372
or,9.013948405280264,9.951297976153661,0.9373495708733977
when,12.594614285851236,10.450335876026527,2.144278409824709
if,8.88180763663206,11.015823111019483,2.1340154743874225
then,7.4745142024484,10.142416589355049,2.6679023869066487
also,3.078235694496372,3.2104078617324676,0.13217216723609582
still,3.467861148658365,1.7672576710304781,1.7006034776278867
before,4.996941896024465,0.02596811325292947,4.9709737827715355
after,1.7587644876477522,4.627924956190084,6.386689443837836
next,2.0783699059561127,0.0,2.0783699059561127
while,0.0,4.187734082397004,4.187734082397004
