,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,0.00034238937127097427,0.0017954111286569777,0.0014530217573860034
but,0.0011364752358027754,0.0006730075286470296,0.0004634677071557458
for,0.0006117974183086185,0.0014556727298375939,0.0008438753115289754
with,0.00015948970392781845,0.0009713149008521863,0.0008118251969243678
so,0.0005548938439680702,0.002555538006912323,0.002000644162944253
because,0.001043794900592511,0.003377100939632844,0.002333306039040333
as,0.00019326619211602804,0.0020308909536968216,0.0018376247615807936
or,0.0005872432229353901,0.0004020413589233252,0.0009892845818587153
when,0.00040455317812902996,0.0005690970159122921,0.0001645438377832621
if,6.498332799532991e-05,0.0008395046911380663,0.0009044880191333962
then,3.334560555118575e-05,0.0008609895888981724,0.0008943351944493581
also,8.942750161502881e-05,0.00015872052478329885,0.00024814802639832765
still,0.00010545546205373724,2.99610079081172e-05,0.00013541646996185445
before,0.0005516527976966977,0.00027156099390213346,0.0008232137915988311
after,8.139578235667868e-05,0.0009938118938788536,0.0009124161115221749
next,0.0004720725980725482,0.0,0.0004720725980725482
while,0.0,0.0006935060619562577,0.0006935060619562577
