Marker,Dialog,Monolog,Cooperative-Monolog,Speech
as,,2.99,25.78,-10.1
when,,-17.38,-33.9,66.85
then,,1.81,-62.05,115.75
before,,-14.71,28.27,-20.46
after,,14.5,105.35,-54.7
next,,30.18,-3.04,-19.49
once,,42.84,11.81,-26.24
later,,24.23,103.86,-43.87
until,,31.6,38.16,-30.4
at the time,,-16.59,61.91,-41.13
earlier,,-2.66,-0.29,-19.23
eventually,,121.68,18.17,-49.72
at the same time,,-46.05,-36.26,266.74
at that point,,-49.81,-68.08,123.54
ultimately,,60.96,-15.67,-16.06
whenever,,71.43,-64.37,42.94
upon,,17.2,128.97,-31.83
meanwhile,,112.19,140.77,-78.68
