Marker,Dialog,Monolog,Cooperative-Monolog,Speech
so,,6.55,-64.92,138.25
for,,6.7,111.15,-47.74
because,,-35.46,-61.73,197.34
if,,13.17,-4.21,13.09
whatever,,-30.02,-20.59,-23.05
since,,2.85,165.77,-54.85
given,,-11.51,207.67,-49.79
now that,,-12.17,19.84,1.97
so that,,46.08,-31.34,211.76
because of,,72.78,7.08,31.24
as long as,,-33.4,182.73,-46.96
therefore,,102.14,19.51,15.49
in case,,-8.09,138.83,-40.17
after all,,128.36,285.42,-67.2
thus,,163.39,375.57,-82.59
as a result,,73.17,352.73,-31.99
in this way,,38.33,120.16,70.12
