Marker,Dialog,Monolog,Cooperative-Monolog,Speech
but,74.72307205401414,69.23347089296689,60.02945346587393,73.43025441784685
still,9.484122797763478,9.509175520238827,9.748627202155744,7.375610978819401
though,3.6044589794985407,3.784353323382211,4.049068220806993,1.7671387391903748
while,3.2422548088757606,5.759943805426288,9.170524600694037,4.098257927058529
yet,2.338502654991736,2.651681447010273,3.1247307279549426,3.759869657851861
even though,1.6351935858212892,1.4663271577838266,1.1225217180143978,1.2501566612357438
by the way,1.0690297851390793,1.132671876371938,0.05013355893434854,1.131094122070435
even if,0.8510039736962408,1.3082799192203003,0.9658543463445586,0.9775661110414839
although,0.7068256145162992,0.9746246378084116,2.039809179141306,0.9305677403183357
however,0.5626472553363575,1.5980331899200984,4.546487125858733,1.0308309311943853
instead of,0.4430847135773816,0.719992975678286,0.7668867843238628,1.4412833688432134
despite,0.37978689735204135,0.5795065413995961,2.599895032860981,0.8647700213059281
whereas,0.26725744628476983,0.2721924664149618,0.08851706499345914,0.3916530893595689
regardless,0.2145092660969863,0.16682764070594433,0.4418019881089465,0.24752475247524752
nevertheless,0.14769490452579387,0.08780402142418123,0.2467511103799967,0.10652964030580273
on the other hand,0.10901290572141928,0.37755729212397926,0.28200126900571054,0.42298533650833436
as though,0.07033090691704469,0.13170603213627183,0.2491011209550443,0.1848602581777165
