Marker,Dialog,Monolog,Cooperative-Monolog,Speech
but,,-7.35,-13.29,22.32
still,,0.26,2.52,-24.34
though,,4.99,6.99,-56.36
while,,77.65,59.21,-55.31
yet,,13.39,17.84,20.33
even though,,-10.33,-23.45,11.37
by the way,,5.95,-95.57,2156.16
even if,,53.73,-26.17,1.21
although,,37.89,109.29,-54.38
however,,184.02,184.51,-77.33
instead of,,62.5,6.51,87.94
despite,,52.59,348.64,-66.74
whereas,,1.85,-67.48,342.46
regardless,,-22.23,164.83,-43.97
nevertheless,,-40.55,181.02,-56.83
on the other hand,,246.34,-25.31,49.99
as though,,87.27,89.13,-25.79
