Marker,Dialog,Monolog,Cooperative-Monolog,Speech
and,,-5.59,-2.56,9.15
with,,-1.68,29.84,-26.94
or,,18.53,-26.2,-2.04
also,,10.23,-9.8,-5.39
else,,-22.43,-17.16,13.74
without,,47.73,63.41,-32.49
anyway,,-6.31,-72.78,48.73
finally,,5.53,332.59,-70.04
rather,,41.56,-17.51,26.42
as well,,65.15,-1.19,-4.63
in fact,,233.38,-25.45,86.7
much as,,-47.15,25.25,-6.64
essentially,,109.09,-59.54,39.29
particularly,,28.99,7.47,-3.09
instead,,-4.5,354.65,-50.26
plus,,372.87,-81.78,-32.19
indeed,,631.82,-68.06,58.68
further,,191.4,50.3,-54.06
as if,,-32.56,152.03,-17.31
specifically,,61.78,-18.82,-43.08
for example,,144.28,-63.57,207.72
