,Monolog,Dialog,Cooperative Monolog,Speech
and,255.42201834862385,124.41065830721003,153.37640449438203,67.08270297528996
so,85.3302752293578,46.642633228840126,12.456928838951312,14.884518406454866
but,64.98165137614679,24.717868338557995,35.87687265917603,11.818456883509834
for,56.678899082568805,31.025078369905955,49.86985018726592,13.069591527987898
with,45.883792048929664,23.275862068965516,38.23642322097378,11.193141704488148
because,37.47094801223242,12.407523510971787,0.0,5.390317700453858
as,30.165137614678898,15.77742946708464,35.75749063670412,8.044377206253152
when,28.889908256880734,12.122257053291536,14.437734082397004,6.028240040342915
if,28.07645259938838,16.300940438871475,11.88623595505618,6.741805345436208
or,27.865443425076453,17.04075235109718,15.912453183520599,6.246091780131114
then,20.425076452599388,10.561128526645769,7.22191011235955,3.8991427130610186
also,10.54434250764526,5.996865203761756,6.843632958801498,2.594553706505295
still,8.247706422018348,3.394984326018809,5.826310861423221,1.1870902672718104
before,6.45565749235474,0.0,6.462546816479401,1.286434694906707
after,5.477064220183486,3.1849529780564265,11.784176029962547,1.3358547655068078
next,0.0,3.166144200626959,5.531367041198502,0.0
