,Monolog,Dialog,Cooperative Monolog,Speech
and,2.819810074787104,2.825813755611647,2.539976612293052,3.226617844742984
so,0.9420298662258846,1.0594220492792528,0.20629188704898943,0.7159319850060809
but,0.7173849631736309,0.5614317399399763,0.5941358305857339,0.5684571757894875
for,0.6257241709002812,0.7046911769417813,0.8258653184092173,0.6286356300109296
with,0.5065482605043605,0.528678588339166,0.6332109625282665,0.5383800765413664
because,0.4136720765102593,0.2818195087739285,0.0,0.2592694466638433
as,0.33301733148593793,0.3583622000149525,0.5921588149814986,0.386927328391957
when,0.31893904405389856,0.27534008095724644,0.23909484007455598,0.2899529390419668
if,0.3099586496727895,0.37025301809611627,0.19684097716050786,0.32427479020010486
or,0.3076291488746823,0.3870568089174015,0.2635167975386388,0.3004314123284089
then,0.22548892508055346,0.23988123422419533,0.11959781455268007,0.18754526724715467
also,0.11640751814309752,0.13621038915728276,0.11333338863808357,0.12479570615450218
still,0.0910530964129739,0.07711231126886421,0.09648611448905117,0.057097977121029764
before,0.07126922006962844,0.0,0.10702244470926978,0.06187635498544899
after,0.06046573810739201,0.07234174353570272,0.19515082264394593,0.06425341605505856
next,0.0,0.07191452851482258,0.0916017229962346,0.0
