,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,6.003680824543181e-05,0.002798334624940519,0.004068077699558796,0.002858371433185951,0.004008040891313364,0.006866412324499315
so,0.0011739218305336814,0.0073573797917689514,0.0022609788121980365,0.008531301622302633,0.003434900642731718,0.005096400979570915
but,0.0015595322323365456,0.0012324913258789693,0.001489277873841434,0.00032704090645757633,7.02543584951117e-05,0.00025678654796246463
for,0.0007896700604150013,0.0020014114750893618,2.9114591106485163e-05,0.0012117414146743605,0.0007605554693085161,0.0019722968839828766
with,0.00022130327834805376,0.001266627020239059,0.0003183181603700581,0.0010453237418910051,9.701488202200435e-05,0.0009483088598690008
because,0.0013185256773633075,0.004136720765102592,0.0015440262984641592,0.002818195087739285,0.00022550062110085175,0.002592694466638433
as,0.0002534486852901461,0.002591414834955607,0.000539099969060191,0.002337966149665461,0.00028565128377004484,0.002052314865895416
when,0.0004359896309665211,0.0007984420397934263,0.0002898610501193182,0.00036245240882690514,0.00014612858084720294,0.0005085809896741081
if,0.0006029436842332671,0.001131176725122817,0.0001431614052731533,0.0017341204093560842,0.00045978227896011385,0.0012743381303959704
or,0.0007942766004271924,0.00044112351336043475,7.197736546273384e-05,0.001235400113787627,0.0008662539658899262,0.0003691461478977009
then,0.00014392309143641856,0.0010589111052787341,0.0003794365783339878,0.0012028341967151527,0.0005233596697704064,0.0006794745269447463
also,0.0001980287101418525,3.0741295050139414e-05,8.388188011404659e-05,0.0002287700051919919,0.0001141468300278059,0.000114623175164186
still,0.0001394078514410969,5.433018076077267e-05,0.0003395511929194414,0.00019373803220186958,0.00020014334147834447,0.00039388137368021406
before,0.0007126922006962844,0.0003575322463964134,9.392865084179448e-05,0.0010702244470926978,0.0006187635498544899,0.0004514608972382079
after,0.00011876005428310707,0.001346850845365539,3.787677947666545e-05,0.001228090791082432,8.088327480644162e-05,0.0013089740658888736
next,0.0007191452851482258,0.000916017229962346,0.0,0.00019687194481412022,0.0007191452851482258,0.000916017229962346
