,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,0.006003680824543167,0.27983346249405194,0.4068077699558801,0.2858371433185951,0.4008040891313369,0.686641232449932
so,0.11739218305336818,0.7357379791768952,0.22609788121980368,0.8531301622302634,0.34349006427317186,0.5096400979570914
but,0.15595322323365457,0.12324913258789694,0.14892778738414336,0.03270409064575763,0.007025435849511208,0.025678654796246425
for,0.07896700604150009,0.20014114750893608,0.0029114591106483845,0.12117414146743599,0.0760555469308517,0.1972296883982877
with,0.022130327834805508,0.12666270202390595,0.03183181603700591,0.10453237418910044,0.009701488202200403,0.09483088598690004
because,0.1318525677363308,0.4136720765102593,0.154402629846416,0.2818195087739285,0.0225500621100852,0.2592694466638433
as,0.025344868529014575,0.25914148349556065,0.05390999690601905,0.23379661496654608,0.02856512837700448,0.2052314865895416
when,0.04359896309665212,0.07984420397934258,0.028986105011931773,0.03624524088269046,0.014612858084720348,0.05085809896741081
if,0.06029436842332675,0.11311767251228166,0.014316140527315335,0.1734120409356084,0.045978227896011414,0.127433813039597
or,0.07942766004271923,0.044112351336043465,0.00719773654627337,0.12354001137876269,0.0866253965889926,0.036914614789770095
then,0.014392309143641868,0.1058911105278734,0.037943657833398786,0.12028341967151526,0.052335966977040654,0.06794745269447461
also,0.019802871014185236,0.003074129505013956,0.00838818801140466,0.022877000519199192,0.011414683002780576,0.011462317516418616
still,0.013940785144109694,0.005433018076077267,0.03395511929194414,0.01937380322018696,0.020014334147834448,0.03938813736802141
before,0.07126922006962844,0.03575322463964134,0.009392865084179448,0.10702244470926978,0.06187635498544899,0.04514608972382079
after,0.011876005428310708,0.13468508453655392,0.0037876779476665526,0.12280907910824321,0.008088327480644156,0.13089740658888738
next,0.07191452851482258,0.0916017229962346,0.0,0.019687194481412026,0.07191452851482258,0.0916017229962346
