Marker,Dialog,Monolog,Cooperative-Monolog,Speech
and,71.54,67.54,65.81,71.83
with,12.85,12.64,16.41,11.99
or,7.8,9.25,6.83,6.69
also,2.95,3.26,2.94,2.78
else,0.86,0.67,0.55,0.63
without,0.46,0.69,1.12,0.76
anyway,0.42,0.39,0.11,0.16
finally,0.29,0.3,1.32,0.39
rather,0.21,0.29,0.24,0.3
as well,0.2,0.34,0.33,0.32
in fact,0.2,0.67,0.5,0.94
much as,0.17,0.09,0.12,0.11
essentially,0.16,0.34,0.14,0.19
particularly,0.16,0.21,0.23,0.22
instead,0.16,0.15,0.67,0.33
plus,0.13,0.61,0.11,0.08
indeed,0.05,0.38,0.12,0.19
further,0.1,0.3,0.45,0.21
as if,0.09,0.06,0.16,0.13
specifically,0.12,0.19,0.16,0.09
for example,0.1,0.26,0.09,0.29
