,Monolog,Dialog,Cooperative Monolog,Speech
and,38.41284403669725,18.95924764890282,24.411516853932586,10.128088754412506
so,13.030581039755353,6.564263322884012,1.5449438202247192,1.9500756429652042
but,9.34250764525994,3.0783699059561127,4.835205992509363,1.778113968734241
for,8.761467889908257,5.056426332288401,7.830056179775281,1.9531013615733737
with,7.149847094801223,3.730407523510972,4.624063670411985,1.7589510842158347
because,4.981651376146789,1.5454545454545454,0.0,0.7518910741301059
as,4.400611620795107,2.19435736677116,5.168071161048689,1.2713061018658598
when,4.1681957186544345,1.683385579937304,2.078183520599251,1.006051437216339
or,3.978593272171254,2.4357366771159876,2.531367041198502,0.951084215834594
if,3.562691131498471,1.921630094043887,1.908239700374532,0.8446797781139688
then,2.8929663608562692,1.3761755485893417,0.852996254681648,0.5073121533030761
also,1.617737003058104,0.9404388714733543,1.1872659176029963,0.3585476550680787
still,1.1314984709480123,0.3510971786833856,0.601123595505618,0.17498739283913262
before,1.1223241590214068,0.5987460815047022,0.952247191011236,0.22339889056984366
after,0.8318042813455657,0.4231974921630094,1.2954119850187267,0.22239031770045387
while,0.0,0.0,0.702247191011236,0.0
