,Monolog,Dialog,Cooperative Monolog,Speech
and,0.004240704278989118,0.0043063274104717525,0.004042648025554516,0.004871519849187603
so,0.0014385511450340444,0.001490980422871668,0.00025584907819515374,0.0009379688934877744
but,0.001031394918582259,0.0006992085841738196,0.0008007300847271358,0.0008552568705554415
for,0.0009672492444314803,0.0011484963811327607,0.0012966896463072566,0.0009394242369997803
with,0.000789329400865899,0.0008473097914122661,0.0007657640440404648,0.0008460396949794045
because,0.0005499647536400983,0.00035102834215651024,0.0,0.00036165286273345527
as,0.0004858190794893194,0.0004984175243601566,0.0008558539315746372,0.0006114868322944606
when,0.0004601608098290079,0.0003823574436877201,0.00034415577518432956,0.0004839017177419472
or,0.0004392290635271748,0.0005532434520397737,0.0004192048381215747,0.00045746297727384085
if,0.00039331426518766997,0.00043647134633253705,0.00031601237658286267,0.0004062833971016349
then,0.00031937793550861445,0.00031257899027729814,0.0001412597031732031,0.0002440125955129819
also,0.00017859506118822097,0.00021360751044006708,0.00019661614009179089,0.00017245820617269397
still,0.0001249152601883587,7.974680389762504e-05,9.954855042502346e-05,8.41673664443387e-05
before,0.00012390243375439905,0.0001359967816468427,0.0001576960681966493,0.00010745286263643239
after,9.182959667900965e-05,9.612337969803018e-05,0.00021452557556545166,0.00010696774813243044
while,0.0,0.0,0.00011629503554325172,0.0
