,Monolog,Dialog,Cooperative Monolog,Speech
and,0.004042190297933024,0.004485045694206608,0.004403627815880769,0.004922214314855807
so,0.0012694091305627804,0.0016319613797621125,0.0002639897306831814,0.0010371748095561737
for,0.0010955405927330379,0.0015707272267692933,0.0014349256785563351,0.0010767116416323327
but,0.0010357838331294176,0.0008971515438482817,0.0008242992119305682,0.0008785423667475353
with,0.0007521924316207113,0.0008138446147766556,0.0009971136347478402,0.0008273627865753293
because,0.0005833880259607672,0.0003367878414605057,0.0,0.00041792614519768173
if,0.0005405117069231414,0.0007106009847306231,0.00037183399364362345,0.0005523028628062225
as,0.0005249817016024264,0.0005034016996037581,0.0008868659410528376,0.0005940227101503904
or,0.00048109255613084094,0.0005368668762393686,0.0004982854622909859,0.00046231412231386034
when,0.00039162622113107055,0.0003389239165649064,0.0002653852711097004,0.0003919725192335773
then,0.00026063400233895383,0.0002178796606488684,0.00015296673675122376,0.00024085935123696923
also,0.0002066165925277717,0.00024066446176247556,0.00014443843414471862,0.00019162022908077107
next,0.00017049244971654363,0.00027270558832848563,0.0002771698347114166,0.00010526984736842361
still,0.00013740678620719458,0.00011677210570723666,0.00016110738923925139,0.00010041870232840408
before,8.541502926393177e-05,8.971515438482817e-05,0.00012505592822084334,8.950362598836016e-05
after,0.0,0.0,0.0002570895585742818,0.0
