,Monolog,Dialog,Cooperative Monolog,Speech
and,180.39449541284404,85.70532915360502,102.37359550561797,46.72112960161372
so,60.801223241590215,32.893416927899686,9.317883895131086,10.77811396873424
but,46.25688073394495,17.689655172413794,26.064138576779026,8.21381744831064
for,37.993883792048926,19.053291536050157,33.375,8.877962682803833
with,31.920489296636084,15.962382445141065,27.59129213483146,7.714069591527988
because,27.204892966360855,9.379310344827585,0.0,3.7695410993444276
when,21.174311926605505,8.946708463949843,10.757022471910112,4.207261724659607
as,21.009174311926607,11.366771159874608,25.234082397003746,5.538073625819465
if,19.617737003058103,11.25078369905956,7.732677902621723,4.748865355521937
or,19.529051987767584,12.241379310344827,10.372191011235955,4.333837619768028
then,15.17125382262997,8.225705329153605,5.445224719101123,2.8910741301059
also,7.055045871559633,3.9968652037617556,4.784176029962547,1.83761976802824
still,5.871559633027523,2.529780564263323,4.252340823970037,0.8033282904689864
before,4.559633027522936,1.8025078369905956,4.755149812734082,0.8769541099344428
after,3.9663608562691133,2.4420062695924765,8.936329588014981,0.9606656580937972
while,0.0,0.0,4.099250936329588,0.0
