,Monolog,Dialog,Cooperative Monolog,Speech
and,0.019915206170948895,0.019466764451438114,0.016953490281495235,0.02247244428338643
so,0.006712338386662021,0.007471278690158746,0.0015430800616115592,0.005184176147016861
but,0.005106670880024632,0.004017957271377662,0.004316329009199635,0.003950772520591898
for,0.0041944518718382935,0.004327688161515759,0.005527037859228581,0.004270220421477183
with,0.003523960772556995,0.0036256314772027385,0.0045692319464943594,0.0037103982838589305
because,0.0030033679855017274,0.002130378904122269,0.0,0.001813115458707296
when,0.0023376034095789074,0.002032119449319838,0.0017814073544515298,0.0020236551534441433
as,0.0023193725337676335,0.002581802776185611,0.004178868277187511,0.002663763741474719
if,0.0021657605246170842,0.0025554578498980024,0.0012805634013785924,0.0022841616420931914
or,0.002155969869088807,0.0027804577608948732,0.0017176776749738278,0.002084537023696388
then,0.0016748773129579664,0.0018683536913157866,0.0009017517056023737,0.0013905807257215956
also,0.0007788635277149826,0.0009078319193702851,0.0007922793121443261,0.0008838786262915568
still,0.0006482089177341857,0.0005746042030837804,0.0007042052052262369,0.00038639370243755486
before,0.0005033747376779536,0.00040941439501012854,0.000787472450675205,0.0004218070612296974
after,0.00043787862828189526,0.0005546675021093742,0.0014798930922997257,0.0004620715650618594
while,0.0,0.0,0.000678852887477808,0.0
