,Monolog,Dialog,Cooperative Monolog
so,50.87767584097859,32.661442006269596,6.380149812734082
and,39.87767584097859,20.34169278996865,18.00936329588015
but,18.134556574923547,7.178683385579937,8.910112359550562
if,9.584097859327217,6.987460815047022,4.683052434456929
when,6.718654434250764,3.25705329153605,3.153558052434457
because,5.776758409785932,1.7962382445141065,0.0
for,5.458715596330276,3.304075235109718,5.553838951310861
then,4.431192660550459,2.573667711598746,2.13249063670412
as,4.162079510703364,2.25705329153605,4.795880149812734
with,4.146788990825688,2.45141065830721,4.015917602996255
also,3.3486238532110093,2.1003134796238245,3.061797752808989
or,1.8103975535168195,1.1379310344827587,1.325374531835206
still,1.7737003058103975,0.7021943573667712,1.2682584269662922
anyway,1.0244648318042813,0.0,0.0
before,0.7981651376146789,0.0,0.0
in fact,0.0,0.8714733542319749,0.0
once,0.0,0.6394984326018809,1.3876404494382022
however,0.0,0.0,2.386704119850187
after,0.0,0.0,2.0004681647940075
