,Monolog,Dialog,Cooperative Monolog
so,0.005616797793928983,0.00741858883758353,0.0010565791629222896
and,0.004402418899611345,0.00462033045081865,0.002982424951518538
but,0.002002020251126938,0.001630537329692512,0.0014755514109727778
if,0.0010580660146765303,0.0015871038025696983,0.0007755328270260979
when,0.0007417265584697948,0.0007397940111574323,0.0005222422396128957
because,0.0006377430445832692,0.00040799034494052813,0.0
for,0.0006026317282060008,0.0007504743866794356,0.0009197386710997301
then,0.0004891951676025183,0.0005845725535709835,0.0003531492579330077
as,0.00045948559220636813,0.000512658025056161,0.0007942175627367137
with,0.00045779754814976865,0.0005568035772137749,0.0006650525432600088
also,0.0003696816483952778,0.0004770567733161498,0.0005070463549685775
or,0.00019986441630137394,0.0002584650876324812,0.00021948749708196373
still,0.00019581311056553527,0.00015949360779525008,0.0002100288341911126
anyway,0.00011309895179216262,0.0,0.0
before,8.811589975449088e-05,0.0,0.0
in fact,0.0,0.00019794295967446215,0.0
once,0.0,0.0001452531070992456,0.00022979899023346537
however,0.0,0.0,0.00039524806079966484
after,0.0,0.0,0.00033128579125087635
