,Monolog,Dialog,Cooperative Monolog
and,16.93577981651376,9.043887147335424,13.808520599250937
for,8.125382262996942,4.081504702194358,6.7972846441947565
with,5.651376146788991,2.58307210031348,4.299157303370786
or,3.4862385321100917,2.347962382445141,1.969569288389513
as,3.4128440366972477,1.6896551724137931,3.6385767790262173
so,3.1957186544342506,1.2319749216300941,0.6713483146067416
but,2.1376146788990824,0.8119122257053292,1.2256554307116105
then,1.165137614678899,0.6332288401253918,0.0
when,1.1314984709480123,0.4200626959247649,0.6947565543071161
because,1.1039755351681957,0.3385579937304075,0.0
though,0.7217125382262997,0.0,0.9592696629213483
else,0.7155963302752294,0.0,0.0
next,0.6880733944954128,0.47335423197492166,0.9695692883895131
before,0.6605504587155964,0.0,0.6329588014981273
if,0.654434250764526,0.3573667711598746,0.0
later,0.0,0.3510971786833856,0.9339887640449438
yet,0.0,0.322884012539185,0.5271535580524345
after,0.0,0.322884012539185,1.0365168539325842
instead,0.0,0.0,0.5065543071161048
