,Monolog,Dialog,Cooperative Monolog
and,198.6085626911315,95.02507836990596,121.55852059925094
but,44.70948012232416,16.727272727272727,25.741104868913858
for,43.09480122324159,23.63949843260188,37.5187265917603
with,36.08562691131498,18.24137931034483,29.921348314606742
so,31.256880733944953,12.74921630094044,5.405430711610487
because,30.59021406727829,10.272727272727273,0.0
as,22.59021406727829,11.830721003134796,27.323033707865168
or,22.568807339449542,13.554858934169278,12.61750936329588
when,21.039755351681958,8.445141065830722,10.589419475655431
if,17.837920489296636,8.956112852664576,6.822097378277154
then,14.82874617737003,7.35423197492163,4.686329588014981
also,6.755351681957187,3.677115987460815,3.544943820224719
still,5.844036697247707,2.376175548589342,4.0767790262172285
before,4.996941896024465,0.0,4.9709737827715355
after,4.1192660550458715,2.3605015673981193,8.747191011235955
next,0.0,2.0783699059561127,0.0
while,0.0,0.0,4.187734082397004
