,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,6.562313148263457e-05,0.0001980562534346017,0.0006308155701984855,0.0002636793849172363,0.0005651924387158509,0.0008288718236330872
so,5.242927783762367e-05,0.0011827020668388906,0.00050058225154627,0.0012351313446765143,0.0005530115293838937,0.0006821198152926207
but,0.00033218633440843946,0.0002306648338551232,0.0001761380480268175,0.00010152150055331628,0.00015604828638162197,5.452678582830569e-05
for,0.00018124713670128044,0.0003294404018757763,2.782500743169999e-05,0.00014819326517449588,0.00020907214413298043,0.0003572654093074763
with,5.798039054636707e-05,2.356535682543424e-05,5.671029411350543e-05,8.154574737180131e-05,1.2700964328616346e-06,8.027565093893967e-05
because,0.00019893641148358801,0.0005499647536400983,0.00018831189090664298,0.00035102834215651024,1.0624520576945034e-05,0.00036165286273345527
as,1.2598444870837167e-05,0.00037003485208531777,0.00012566775280514124,0.0003574364072144806,0.00011306930793430407,0.00024436709928017653
when,7.78033661412878e-05,0.00011600503464467832,2.374090791293934e-05,3.8201668503390525e-05,0.00010154427405422714,0.00013974594255761766
or,0.00011401438851259889,2.0024225405600106e-05,1.8233913746666045e-05,0.000134038613918199,9.578047476593285e-05,3.825813915226615e-05
if,4.315708114486708e-05,7.73018886048073e-05,1.296913191396493e-05,0.00012045896974967438,3.0187949230902147e-05,9.027102051877223e-05
then,6.798945231316312e-06,0.00017811823233541136,7.536533999563254e-05,0.00017131928710409505,6.856639476431623e-05,0.00010275289233977882
also,3.50124492518461e-05,1.8021078903569912e-05,6.136855015527004e-06,1.699137034827619e-05,4.1149304267373106e-05,2.4157933919096916e-05
still,4.516845629073366e-05,2.5366709763335237e-05,4.074789374402e-05,1.980174652739842e-05,4.420562546713654e-06,1.5381183980684766e-05
before,1.209434789244365e-05,3.379363444225026e-05,1.6449571117966658e-05,2.1699286549806612e-05,2.8543919010410308e-05,5.024320556021692e-05
after,4.293783019020534e-06,0.00012269597888644201,1.5138151453420798e-05,0.00011840219586742148,1.0844368434400264e-05,0.00010755782743302122
while,0.0,0.00011629503554325172,0.0,0.00011629503554325172,0.0,0.00011629503554325172
