,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,16.87,10.02,26.38,6.85,9.51,16.36
so,4.31,9.9,9.34,5.59,5.03,0.56
for,3.01,1.26,7.69,1.75,4.68,6.43
but,5.43,4.4,7.56,1.03,2.12,3.15
with,3.23,0.79,5.09,2.44,1.86,4.3
because,3.8,5.28,4.42,1.48,0.61,0.87
if,1.77,2.65,3.75,0.88,1.98,1.1
as,2.54,0.6,3.52,3.14,0.98,4.12
or,1.99,1.35,3.4,0.65,1.4,2.05
when,2.06,1.94,2.73,0.11,0.68,0.79
then,1.4,1.44,1.86,0.04,0.46,0.42
also,0.81,1.0,1.47,0.19,0.66,0.47
next,0.34,0.13,1.33,0.47,0.98,1.45
still,0.73,0.27,1.04,0.46,0.31,0.76
before,0.38,0.02,0.59,0.36,0.21,0.57
after,0.0,1.55,0.0,1.55,0.0,1.55
