,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,0.00044285539627358407,0.0003614375179477455,0.0008800240169227827,8.141787832583857e-05,0.00043716862064919863,0.0005185864989750372
so,0.0003625522491993321,0.001005419399879599,0.0002322343210066067,0.0013679716490789312,0.0005947865702059388,0.0007731850788729924
for,0.0004751866340362554,0.00033938508582329724,1.8828951100705168e-05,0.00013580154821295817,0.0004940155851369606,0.0003582140369240024
but,0.0001386322892811359,0.00021148462119884948,0.00015724146638188235,7.285233191771357e-05,1.8609177100746446e-05,5.424315481696712e-05
with,6.165218315594423e-05,0.0002449212031271289,7.517035495461794e-05,0.00018326901997118466,1.3518171798673718e-05,0.00016975084817251094
because,0.00024660018450026145,0.0005833880259607672,0.00016546188076308545,0.0003367878414605057,8.1138303737176e-05,0.00041792614519768173
if,0.00017008927780748178,0.0001686777132795179,1.1791155883081111e-05,0.0003387669910869997,0.00015829812192440066,0.00018046886916259902
as,2.1580001998668368e-05,0.00036188423945041114,6.904100854796392e-05,0.0003834642414490795,9.062101054663229e-05,0.0002928432309024472
or,5.5774320108527655e-05,1.7192906160144934e-05,1.8778433816980604e-05,3.858141394838272e-05,7.455275392550826e-05,3.597133997712554e-05
when,5.270230456616413e-05,0.00012624095002137012,3.4629810250673626e-07,7.353864545520599e-05,5.3048602668670866e-05,0.00012658724812387686
then,4.2754341690085423e-05,0.00010766726558773007,1.97746511019846e-05,6.491292389764465e-05,2.2979690588100822e-05,8.789261448574547e-05
also,3.404786923470385e-05,6.217815838305309e-05,1.4996363447000635e-05,9.622602761775694e-05,4.9044232681704484e-05,4.718179493605246e-05
next,0.000102213138611942,0.00010667738499487296,6.522260234812002e-05,4.464246382930961e-06,0.00016743574096006204,0.000171899987342993
still,2.0634680499957917e-05,2.3700603032056805e-05,3.69880838787905e-05,4.433528353201472e-05,1.6353403378832585e-05,6.068868691084731e-05
before,4.300125120896401e-06,3.9640898956911575e-05,4.088596724428393e-06,3.5340773836015175e-05,2.115283964680074e-07,3.555230223248318e-05
after,0.0,0.0002570895585742818,0.0,0.0002570895585742818,0.0,0.0002570895585742818
