,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,94.69,78.02,133.67,16.67,38.98,55.65
so,27.91,51.48,50.02,23.58,22.12,1.46
but,28.57,20.19,38.04,8.37,9.48,17.85
for,18.94,4.62,29.12,14.32,10.18,24.5
with,15.96,4.33,24.21,11.63,8.25,19.88
because,17.83,27.2,23.44,9.38,5.61,3.77
when,12.23,10.42,16.97,1.81,4.74,6.55
as,9.64,4.22,15.47,13.87,5.83,19.7
if,8.37,11.89,14.87,3.52,6.5,2.98
or,7.29,9.16,15.2,1.87,7.91,6.04
then,6.95,9.73,12.28,2.78,5.33,2.55
also,3.06,2.27,5.22,0.79,2.16,2.95
still,3.34,1.62,5.07,1.72,1.73,3.45
before,2.76,0.2,3.68,2.95,0.93,3.88
after,1.52,4.97,3.01,6.49,1.48,7.98
while,0.0,4.1,0.0,4.1,0.0,4.1
