,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
so,0.0018017910436545466,0.0045602186310066935,0.00636200967466124
and,0.0002179115512073058,0.0014199939480928066,0.0016379054993001124
but,0.00037148292143442596,0.0005264688401541602,0.00015498591871973425
if,0.000529037787893168,0.00028253318765043237,0.0008115709755436004
when,1.9325473123624854e-06,0.00021948431885689904,0.00021755177154453656
because,0.0002297526996427411,0.0006377430445832692,0.00040799034494052813
for,0.00014784265847343487,0.0003171069428937293,0.00016926428442029442
then,9.53773859684652e-05,0.00013604590966951062,0.00023142329563797582
as,5.317243284979283e-05,0.0003347319705303456,0.00028155953768055277
with,9.90060290640062e-05,0.00020725499511024012,0.00010824896604623392
also,0.00010737512492087198,0.00013736470657329966,2.998958165242768e-05
or,5.860067133110723e-05,1.962308078058979e-05,3.897759055051744e-05
still,3.631950277028519e-05,1.4215723625577331e-05,5.053522639586252e-05
anyway,0.00011309895179216262,0.00011309895179216262,0.0
before,8.811589975449088e-05,8.811589975449088e-05,0.0
in fact,0.00019794295967446215,0.0,0.00019794295967446215
once,0.0001452531070992456,0.00022979899023346537,8.454588313421978e-05
however,0.0,0.00039524806079966484,0.00039524806079966484
after,0.0,0.00033128579125087635,0.00033128579125087635
