,Monolog,Dialog,Cooperative Monolog
and,0.5497827804107425,0.5805757921530764,0.6119608180099674
so,0.1836690363349131,0.2176628924193218,0.04970224975156347
but,0.1398696682464455,0.11534860586910091,0.14314614045443338
for,0.12199842022116904,0.14478188361274466,0.19897711395204615
with,0.0987625065824118,0.10861932765733345,0.15256057741880047
because,0.08065429173249078,0.05790105035255566,0.0
as,0.06492890995260664,0.07362708095614266,0.14266981477468862
when,0.062184044233807266,0.056569823575879925,0.05760552014764228
if,0.060433122696155875,0.0760701015243278,0.047425226207999285
or,0.05997893628225382,0.07952251382427807,0.06348954325037172
then,0.04396392838335966,0.04928464846835776,0.028814901708795027
also,0.02269615587151132,0.027985020041545978,0.027305603084348873
still,0.017752764612954188,0.01584306152900904,0.023246561115386626
before,0.01389547130068457,0.0,0.0257850967968499
after,0.011789099526066351,0.014862927528599433,0.047018014450413564
next,0.0,0.0147751543345329,0.02206975649484074
