,Monolog,Dialog,Cooperative Monolog,Speech
and,0.02819810074787104,0.02825813755611647,0.02539976612293052,0.032266178447429836
so,0.009420298662258846,0.010594220492792527,0.0020629188704898945,0.007159319850060809
but,0.007173849631736309,0.005614317399399763,0.005941358305857339,0.005684571757894875
for,0.0062572417090028115,0.007046911769417813,0.008258653184092173,0.006286356300109297
with,0.005065482605043606,0.00528678588339166,0.006332109625282665,0.005383800765413664
because,0.004136720765102592,0.002818195087739285,0.0,0.002592694466638433
as,0.003330173314859379,0.003583622000149525,0.005921588149814986,0.00386927328391957
when,0.0031893904405389858,0.0027534008095724647,0.0023909484007455595,0.0028995293904196676
if,0.0030995864967278955,0.0037025301809611626,0.0019684097716050784,0.0032427479020010488
or,0.003076291488746823,0.0038705680891740154,0.0026351679753863883,0.0030043141232840892
then,0.0022548892508055347,0.0023988123422419533,0.0011959781455268006,0.0018754526724715469
also,0.0011640751814309752,0.0013621038915728276,0.0011333338863808357,0.0012479570615450217
still,0.000910530964129739,0.0007711231126886421,0.0009648611448905117,0.0005709797712102977
before,0.0007126922006962844,0.0,0.0010702244470926978,0.0006187635498544899
after,0.0006046573810739201,0.0007234174353570272,0.0019515082264394592,0.0006425341605505856
next,0.0,0.0007191452851482258,0.000916017229962346,0.0
