,Monolog,Dialog,Cooperative Monolog,Speech
and,33.11605666638912,32.126118104181,32.09616741123912,37.85658182314908
so,11.063267952088117,12.044359898004615,2.606787365781017,8.39973590747655
but,8.42502170784218,6.382806492087263,7.507739634767615,6.6694745469447225
for,7.348550629824791,8.011494718096086,10.435966768555529,7.375523631727529
with,5.948939983268111,6.010442384749261,8.001508738929383,6.316592295783626
because,4.858195255597451,3.2039502974865424,0.0,3.041901921500774
as,3.9109800049957775,4.0741490265916545,7.482757269378478,4.5396594117111375
when,3.7456435631787417,3.1302869632088073,3.021298691119994,3.401898734177215
if,3.640177151851808,4.209333387299146,2.487361862214907,3.8045829159457245
or,3.6128193233497083,4.400372364107338,3.3299043812210987,3.524838357162371
then,2.6481585009495943,2.7271623426559275,1.511286150952269,2.2003915854658045
also,1.367098444568678,1.5485489942121666,1.4321263421898267,1.4641767598579365
still,1.0693342531907555,0.8766746266240337,1.2192374010502391,0.6699071122848557
before,0.8369909560569836,0.0,1.3523787130652873,0.7259698570257718
after,0.7101140702501457,0.8224389849030639,2.466004389058704,0.753858938165923
next,0.0,0.8175820617638726,1.157516263030018,0.0
