,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,131.0113600414138,102.04561385424182,188.33931537333387,28.965746187172,57.327955331920066,86.29370151909207
so,38.68764200051767,72.87334639040648,70.44575682290292,34.18570438988881,31.75811482238526,2.4275895675035546
but,40.263783037588794,29.104778716970756,53.163194492636954,11.159004320618035,12.899411455048162,24.058415775666198
for,25.65382071266285,6.809048895302887,43.60930755458091,18.844771817359963,17.95548684191806,36.80025865927802
with,22.607929979964148,7.64736882795588,34.690650344441515,14.960561152008268,12.082720364477368,27.043281516485635
because,25.063424501260634,37.47094801223242,32.08063031177856,12.407523510971787,7.017205810517929,5.390317700453858
as,14.387708147594259,5.592353022025222,22.120760408425745,19.980061169619482,7.733052260831487,27.713113430450967
when,16.767651203589196,14.45217417448373,22.86166821653782,2.315477029105468,6.094017012948621,8.409494042054089
if,11.775512160516904,16.1902166443322,21.33464725395217,4.414704483815296,9.559135093435266,5.144430609619971
or,10.824691073979274,11.952990241555854,21.61935164494534,1.1282991675765803,10.794660570966066,9.666361403389484
then,9.86394792595362,13.203166340239838,16.52593373953837,3.3392184142862185,6.66198581358475,3.322767399298532
also,4.547477303883504,3.7007095488437614,7.949788801139965,0.8467677550397426,3.4023114972564605,4.2490792522962035
still,4.852722095999539,2.421395560595127,7.060616154746538,2.4313265354044122,2.2078940587469984,4.639220594151411
before,6.45565749235474,0.006889324124661478,5.1692227974480325,6.462546816479401,1.286434694906707,5.176112121572694
after,2.2921112421270595,6.307111809779061,4.1412094546766784,8.59922305190612,1.8490982125496187,10.448321264455739
next,3.166144200626959,5.531367041198502,0.0,2.3652228405715428,3.166144200626959,5.531367041198502
