,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Dialog, Cooperative Monolog)"
and,0.030793011742333953,0.06217803759922491,0.03138502585689096
so,0.03399385608440869,0.13396678658334965,0.16796064266775834
but,0.024521062377344596,0.0032764722079878794,0.027797534585332476
for,0.022783463391575623,0.07697869373087711,0.05419523033930149
with,0.009856821074921654,0.05379807083638867,0.043941249761467016
because,0.02275324137993512,0.08065429173249078,0.05790105035255566
as,0.008698171003536023,0.07774090482208199,0.06904273381854596
when,0.005614220657927341,0.004578524086164985,0.0010356965717623554
if,0.01563697882817193,0.01300789648815659,0.02864487531632852
or,0.019543577542024244,0.003510606968117898,0.016032970573906347
then,0.0053207200849981,0.015149026674564636,0.020469746759562736
also,0.005288864170034657,0.004609447212837552,0.000679416957197105
still,0.0019097030839451481,0.005493796502432438,0.007403499586377586
before,0.01389547130068457,0.011889625496165328,0.0257850967968499
after,0.003073828002533082,0.03522891492434721,0.03215508692181413
next,0.0147751543345329,0.02206975649484074,0.007294602160307841
