,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,0.9899385622081169,1.019889255149998,4.740525156759958,0.02995069294188113,5.730463718968075,5.760414411909956
so,0.9810919459164982,8.4564805863071,2.663532044611566,9.437572532223598,3.644623990528064,5.792948541695534
but,2.0422152157549176,0.9172820730745652,1.755547160897458,1.1249331426803524,0.2866680548574596,0.8382650878228928
for,0.6629440882712956,3.087416138730738,0.026973001902738325,2.4244720504594426,0.6359710863685573,3.060443136828
with,0.06150240148115049,2.052568755661272,0.36765231251551533,1.9910663541801217,0.30614991103436484,1.6849164431457568
because,1.6542449581109087,4.858195255597451,1.816293334096677,3.2039502974865424,0.16204837598576827,3.041901921500774
as,0.16316902159587698,3.5717772643827006,0.62867940671536,3.4086082427868236,0.46551038511948306,2.9430978576673406
when,0.6153565999699344,0.7243448720587478,0.3437448290015266,0.10898827208881334,0.27161177096840783,0.38060004305722117
if,0.5691562354473376,1.152815289636901,0.1644057640939165,1.7219715250842387,0.4047504713534211,1.3172210537308175
or,0.7875530407576297,0.2829149421286097,0.0879809661873372,1.0704679828862393,0.8755340069449669,0.19493397594127249
then,0.07900384170633323,1.1368723499973252,0.4477669154837898,1.2158761917036585,0.526770757190123,0.6891054345135355
also,0.1814505496434886,0.06502789762114869,0.09707831528925848,0.11642265202233992,0.08437223435423014,0.03205041766810979
still,0.19265962656672175,0.14990314785948367,0.3994271409058998,0.3425627744262054,0.20676751433917806,0.5493302887653835
before,0.8369909560569836,0.5153877570083037,0.11102109903121182,1.3523787130652873,0.7259698570257718,0.6264088560395156
after,0.11232491465291816,1.7558903188085582,0.04374486791577725,1.6435654041556398,0.06858004673714091,1.712145450892781
next,0.8175820617638726,1.157516263030018,0.0,0.3399342012661454,0.8175820617638726,1.157516263030018
