,"Δ (Monolog, Dialog)","Δ (Monolog, Cooperative Monolog)","Δ (Monolog, Speech)","Δ (Dialog, Cooperative Monolog)","Δ (Dialog, Speech)","Δ (Cooperative Monolog, Speech)"
and,0.01,0.28,0.41,0.29,0.4,0.69
so,0.12,0.74,0.23,0.85,0.34,0.51
but,0.16,0.12,0.15,0.03,0.01,0.03
for,0.08,0.2,0.0,0.12,0.08,0.2
with,0.02,0.13,0.03,0.1,0.01,0.09
because,0.13,0.41,0.15,0.28,0.02,0.26
as,0.03,0.26,0.05,0.23,0.03,0.21
when,0.04,0.08,0.03,0.04,0.01,0.05
if,0.06,0.11,0.01,0.17,0.05,0.13
or,0.08,0.04,0.01,0.12,0.09,0.04
then,0.01,0.11,0.04,0.12,0.05,0.07
also,0.02,0.0,0.01,0.02,0.01,0.01
still,0.01,0.01,0.03,0.02,0.02,0.04
before,0.07,0.04,0.01,0.11,0.06,0.05
after,0.01,0.13,0.0,0.12,0.01,0.13
next,0.07,0.09,0.0,0.02,0.07,0.09
