,Spotify,TED,NYTimes,Gigaword
and,25.432063263838966,10.128088754412506,1.9934837130548841,1.2130546402453823
for,7.621495327102804,1.9531013615733737,0.7493800042895835,0.5864873181906417
but,5.163551401869159,1.778113968734241,0.32983017344790905,0.17831096135364172
with,4.818475916606758,1.7589510842158347,0.5222422450688651,0.3740338612952448
as,4.736879942487419,1.2713061018658598,0.4470360378906027,0.3054301022842031
so,3.470524802300503,1.9500756429652042,0.10062414518192468,0.046014271851728766
or,2.690510424155284,0.951084215834594,0.19197718545119843,0.1143602217320541
when,2.2785765636232926,1.006051437216339,0.17581041334125147,0.09471599630723355
if,2.104241552839684,0.8446797781139688,0.08825225337858593,0.0581248203259716
also,1.2095614665708123,0.3585476550680787,0.0728232249692562,0.053109288490341224
then,1.1527677929547089,0.5073121533030761,0.05124435644930262,0.0
after,1.1409058231488138,0.22239031770045387,0.14645856079083538,0.1678069100745348
because,1.084471603163192,0.7518910741301059,0.0,0.0
before,0.9317038102084831,0.22339889056984366,0.06879985428349406,0.05068521434257203
still,0.6347951114306255,0.17498739283913262,0.0,0.0
since,0.0,0.0,0.06445099258591831,0.04845100355697617
while,0.0,0.0,0.05482906871848153,0.042556733450977734
next,0.0,0.0,0.0,0.040208402127158226
