,Spotify,TED,NYTimes,Gigaword
and,0.004098077219146,0.004871519849187603,0.003102903786259725,0.0025671655212862574
for,0.0012281141349721936,0.0009394242369997803,0.0011664274141945092,0.0012411724682295398
but,0.0008320454439879055,0.0008552568705554415,0.0005133883398755623,0.0003773562516210142
with,0.0007764405970524102,0.0008460396949794045,0.000812882206640003,0.0007915610728932076
as,0.0007632923676207879,0.0006114868322944606,0.0006958219951742878,0.000646376182682366
so,0.0005592341637106319,0.0009379688934877744,0.00015662382342501046,9.737916847748564e-05
or,0.00043354404095018954,0.00045746297727384085,0.0002988169563217338,0.0002420184619035739
when,0.0003671657549209421,0.0004839017177419472,0.0002736529993437861,0.00020044574412989393
if,0.00033907372287540543,0.0004062833971016349,0.00013736668594835298,0.00012300850243778699
also,0.00019490657285202242,0.00017245820617269397,0.00011335104420716559,0.00011239422343322431
then,0.00018575494179388883,0.0002440125955129819,7.976303323156687e-05,0.0
after,0.00018384352518048116,0.00010696774813243044,0.0002279661578531901,0.00035512671852092943
because,0.00017474981583790537,0.00036165286273345527,0.0,0.0
before,0.00015013308672583717,0.00010745286263643239,0.00010708857411392033,0.00010726419930509797
still,0.00010228974967508813,8.41673664443387e-05,0.0,0.0
since,0.0,0.0,0.00010031946968685239,0.00010253597956480058
while,0.0,0.0,8.534272129214382e-05,9.006204270552884e-05
next,0.0,0.0,0.0,8.509231174118707e-05
