,Spotify,TED,NYTimes,Gigaword
and,26.984543493889287,10.233484619263741,2.0084649218767683,1.40457290211364
for,8.61214953271028,2.238527483610691,0.7892327142178138,0.5737085519420085
with,5.834651329978433,1.7201210287443267,0.5285553695777994,0.3774322635874576
but,5.377426312005751,1.8265254664649522,0.38507742267163453,0.24194202170355938
as,4.924874191229331,1.2349974785678266,0.3734664469422706,0.2669380649510917
so,3.399352983465133,2.1563287947554213,0.11298579802959381,0.06314845299838803
or,3.0934579439252334,0.9611699445284921,0.2241021783108741,0.15308171526713066
if,2.6581595974119336,1.1482602118003025,0.1545812859912764,0.09648197872659503
when,1.8184759166067577,0.8149268784669692,0.15364145763928483,0.09765346098631941
next,1.6042415528396836,0.2188603126575895,0.0,0.0
after,1.308411214953271,0.0,0.10033098771433098,0.10840387896418245
because,1.1804457225017972,0.8688855269793243,0.07657553277597488,0.0
then,1.0966930265995687,0.5007564296520424,0.06735723931888311,0.0
also,1.0111430625449318,0.3983862834089763,0.11769733431483603,0.11437865113574237
still,0.9521926671459382,0.2087745839636914,0.06596581913262034,0.04557551027930369
before,0.0,0.18608169440242056,0.06442297018092774,0.05433403375193395
since,0.0,0.0,0.0,0.05826617992788838
while,0.0,0.0,0.0,0.050549424065945675
