,Spotify,TED,NYTimes,Gigaword
and,0.004348241108640171,0.004922214314855807,0.0031262223863926233,0.0029724721433073463
for,0.0013877463830495112,0.0010767116416323327,0.0012284590845408484,0.001214128997119754
with,0.0009401852869343322,0.0008273627865753293,0.0008227087318398915,0.0007987530499918352
but,0.0008665088647448009,0.0008785423667475353,0.000599381968854869,0.0005120175098971873
as,0.0007935854248575213,0.0005940227101503904,0.000581309214953307,0.0005649161826071525
so,0.0005477656640301861,0.0010371748095561737,0.00017586502372891522,0.00013363992509623035
or,0.0004984742840904917,0.00046231412231386034,0.00034882025523261376,0.0003239640559749583
if,0.00042833108654998685,0.0005523028628062225,0.00024060936863747696,0.0002041830606758868
when,0.0002930259590069484,0.0003919725192335773,0.00023914650393849226,0.0002066622473227097
next,0.0002585046165344951,0.00010526984736842361,0.0,0.0
after,0.0002108350446304195,0.0,0.00015616751700514366,0.0002294131617964413
because,0.00019021491389184,0.00041792614519768173,0.00011919159862174726,0.0
then,0.00017671915416687085,0.00024085935123696923,0.00010484311035292146,0.0
also,0.00016293378586411264,0.00019162022908077107,0.00018319863959085514,0.00024205746371615248
still,0.0001534346245126322,0.00010041870232840408,0.00010267733245568609,9.645062532417216e-05
before,0.0,8.950362598836016e-05,0.00010027585216142394,0.00011498612960431284
since,0.0,0.0,0.0,0.0001233076591980052
while,0.0,0.0,0.0,0.00010697682880692272
