,Spotify,NYTimes,Gigaword
and,20.84723220704529,1.2245715535944661,0.7388502867139289
so,14.624011502516176,0.21347468121819863,0.11020641640954104
but,9.795830337886413,1.1605818529060852,0.6129579162541569
if,5.5233644859813085,0.37543124864603283,0.23006842270530886
for,5.284687275341481,0.6364087563548887,0.4000395725876999
as,4.430265995686557,0.4536687255949103,0.2520752571787844
with,3.8519051042415526,0.44067279638812756,0.2922092328679706
when,3.584471603163192,0.37642442734598724,0.17045365597346085
also,2.9852624011502518,0.34789276903394917,0.32678562948007916
then,2.453271028037383,0.16601227165781626,0.08199383465564304
however,1.9281092739036665,0.0,0.0936152951089274
after,1.684040258806614,0.2519656100423677,0.1764034168114438
or,1.3608914450035945,0.0,0.0
because,1.3371675053918044,0.0,0.0
still,1.2627606038820993,0.11585432229430208,0.07464981854631901
while,0.0,0.15170683391012785,0.0881513819571885
although,0.0,0.09078989770744393,0.0
since,0.0,0.0905969742269319,0.06145274533814563
