,Spotify,NYTimes,Gigaword
and,0.0033592857372061647,0.001906074118043025,0.0015636154535139328
so,0.0023564870757538424,0.00033227830871387687,0.00023322783908057083
but,0.0015784825923813714,0.0018064726599286102,0.0012971917145371396
if,0.0008900250812612708,0.0005843674745246935,0.00048688962781289646
for,0.0008515650621308867,0.0009905850380268742,0.0008465964877637287
as,0.0007138851442499781,0.0007061459279237739,0.0005334622922408829
with,0.0006206891039174657,0.0006859174617077676,0.0006183970966620411
when,0.0005775953475424569,0.0005859133802817055,0.00036072797883510155
also,0.00048103984770759173,0.0005415031902084574,0.0006915704973383441
then,0.00039531570868203654,0.00025840196381801786,0.00017352206430159965
however,0.0003106920822520797,0.0,0.00019811635015885365
after,0.0002713632373883284,0.00039219033508410667,0.000373319349723456
or,0.00021929161510185938,0.0,0.0
because,0.00021546878187504408,0.0,0.0
still,0.00020347898675457794,0.0001803299484953691,0.00015798005628470292
while,0.0,0.00023613521708679787,0.00018655316991199417
although,0.0,0.00014131658839532484,0.0
since,0.0,0.00014101629850872134,0.00013005132974765256
