,Spotify,NYTimes,Gigaword
and,13.629762760603882,1.4374168084851842,0.894674439014521
for,6.6419841840402585,0.6509793291651802,0.43236586052202
with,4.261322789360173,0.3309887921157886,0.22714989373221042
as,3.388569374550683,0.2572516056299167,0.17257334117899376
or,2.191229331416247,0.23248195518786327,0.12943668907459382
but,1.2854061826024443,0.04423713852444793,0.022524072902265532
so,1.03235082674335,0.058745199815914355,0.03171649744524923
after,0.9018691588785047,0.04590447162138713,0.040138937451717746
next,0.8795830337886412,0.06899924447285007,0.05939968951517808
though,0.8576563623292596,0.0,0.0
later,0.8206326383896477,0.027614463441000443,0.02718448430528692
when,0.7145938173975557,0.03061016631297362,0.01751340156870679
before,0.5916606757728253,0.05378307856296796,0.03875156789164483
then,0.5190510424155284,0.0,0.0
yet,0.5154565061107117,0.0,0.0
since,0.0,0.04246633808600507,0.045547056090092644
if,0.0,0.026963481417373245,0.01938094822927353
without,0.0,0.024863956612694797,0.0
earlier,0.0,0.0,0.024039739464937704
