,Spotify,NYTimes,Gigaword
and,0.002196275610520947,0.0022373727100318936,0.0018933832792145289
for,0.0010702774600771679,0.0010132644736525326,0.0009150080242789935
with,0.0006866619379378086,0.0005151917567923153,0.00048071319791102683
as,0.0005460280125634517,0.00040041811021732966,0.0003652138301686605
or,0.00035309077804039483,0.00036186357293285,0.000273924516140947
but,0.0002071280548347198,6.88561354787584e-05,4.766728672826926e-05
so,0.00016635116708202329,9.14382704707687e-05,6.712104796939499e-05
after,0.00014532558433453914,7.145137824175074e-05,8.494530490916006e-05
next,0.00014173443796995508,0.00010739892958331502,0.00012570648496726232
though,0.0001382012133209288,0.0,0.0
later,0.00013223527661847465,4.298255491403253e-05,5.7530030805836675e-05
when,0.00011514837052892142,4.764543614204625e-05,3.706329391603502e-05
before,9.533914380815124e-05,8.371461327567061e-05,8.200923988641646e-05
then,8.363895726547411e-05,0.0,0.0
yet,8.305974010989602e-05,0.0,0.0
since,0.0,6.609984339110719e-05,9.63904082399162e-05
if,0.0,4.196928624638717e-05,4.101554902255718e-05
without,0.0,3.870132703351769e-05,0.0
earlier,0.0,0.0,5.087486436934846e-05
