,Spotify,NYTimes,Gigaword
and,127.5726096333573,11.124502467588316,7.464154354154205
for,36.582674335010786,3.8567963493273005,2.9029598736188453
with,29.306613946800862,2.967249891952073,2.0975750853904143
but,26.937095614665708,1.2404564849772965,0.8904460047331164
as,24.990294751976997,2.099741439424722,1.5231738106427377
or,13.894680086268872,1.1416651128602362,0.7060228607639312
when,11.571890726096333,0.7234274850214857,0.5096819682360114
so,9.286125089863408,0.4450281247945473,0.2465026915536524
if,8.361610352264558,0.40896652292609953,0.27969576902408105
after,7.470884255930985,0.5176039981505213,0.6554068073154201
because,7.005032350826744,0.4118824697223303,0.2499171942589775
then,6.184399712437096,0.2554155992106304,0.0
before,4.640905823148814,0.32377787286234855,0.2836656853515505
still,4.089503953989936,0.24214052373874928,0.0
also,3.93745506829619,0.42713905256248724,0.35597253937842077
since,0.0,0.0,0.26114981454653086
while,0.0,0.0,0.2429145271597261
