,Spotify,NYTimes,Gigaword
and,0.020556822303474803,0.017315546949735774,0.01579625440422638
for,0.005894866757464748,0.006003193262522976,0.006143481299180644
with,0.004722415391143608,0.004618593502531094,0.004439060087544021
but,0.00434059544218654,0.0019307993833709905,0.0018844347204801499
as,0.004026891430725455,0.003268296409892984,0.003223465093721794
or,0.0022389639148870507,0.0017770283138687135,0.001494143367710473
when,0.0018646737889524985,0.0011260317140578098,0.0010786306999428558
so,0.0014963495997204002,0.0006926966317176267,0.0005216691727363485
if,0.0013473749473057193,0.0006365659092826165,0.0005919150802168484
after,0.0012038449361534722,0.0008056626673830298,0.0013870255323503817
because,0.0011287783927905535,0.0006411046483228724,0.0005288952228470642
then,0.000996543116172079,0.0003975603235032007,0.0
before,0.0007478272695668533,0.0005039677931815847,0.0006003165420967596
still,0.0006589753579011765,0.0003768973596300419,0.0
also,0.000634474472220224,0.0006648518745229616,0.0007533382250878166
since,0.0,0.0,0.0005526666133180445
while,0.0,0.0,0.0005140756055455654
