,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,15.30397450942646,23.43857955078408,24.219008623593584,8.134605041357622,8.915034114167124,0.7804290728095018
for,5.668393965529431,6.872115322813221,7.035008008912162,1.2037213572837901,1.3666140433827318,0.1628926860989418
but,3.385437433134918,4.8337212284212505,4.9852404405155175,1.448283795286332,1.5998030073805993,0.15151921209426733
with,3.059524832390923,4.296233671537893,4.444442055311513,1.2367088391469696,1.38491722292059,0.14820838377362028
as,3.465573840621559,4.289843904596816,4.431449840203216,0.8242700639752572,0.9658759995816567,0.1416059356063996
so,1.520449159335299,3.3699006571185786,3.4245105304487744,1.8494514977832794,1.9040613711134755,0.054609873330195915
or,1.73942620832069,2.4985332387040855,2.57615020242323,0.7591070303833956,0.83672399410254,0.07761696371914434
when,1.2725251264069537,2.102766150282041,2.183860567316059,0.8302410238750875,0.9113354409091053,0.08109441703401792
if,1.259561774725715,2.015989299461098,2.0461167325137124,0.7564275247353829,0.7865549577879972,0.03012743305261433
also,0.8510138115027337,1.1367382416015561,1.156452178080471,0.2857244300988225,0.30543836657773743,0.01971393647891497
then,0.6454556396516328,1.1015234365054063,1.1527677929547089,0.45606779685377347,0.5073121533030761,0.05124435644930262
after,0.91851550544836,0.9944472623579784,0.9730989130742791,0.07593175690961848,0.05458340762591907,0.021348349283699414
because,0.3325805290330861,1.084471603163192,1.084471603163192,0.7518910741301059,0.7518910741301059,0.0
before,0.7083049196386395,0.8629039559249891,0.8810185958659111,0.1545990362863496,0.17271367622727163,0.018114639940922023
still,0.4598077185914929,0.6347951114306255,0.6347951114306255,0.17498739283913262,0.17498739283913262,0.0
since,0.0,0.06445099258591831,0.04845100355697617,0.06445099258591831,0.04845100355697617,0.01599998902894214
while,0.0,0.05482906871848153,0.042556733450977734,0.05482906871848153,0.042556733450977734,0.0122723352675038
next,0.0,0.0,0.040208402127158226,0.0,0.040208402127158226,0.040208402127158226
