,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.0007734426300416031,0.0009951734328862752,0.001530911697859743,0.0017686160629278784,0.002304354327901346,0.0005357382649734677
for,0.0002886898979724133,6.168672077768431e-05,1.3058333257346235e-05,0.00022700317719472898,0.0003017482312297595,7.474505403503055e-05
but,2.3211426567536046e-05,0.00031865710411234317,0.0004546891923668913,0.0003418685306798792,0.0004779006189344273,0.0001360320882545481
with,6.959909792699425e-05,3.6441609587592764e-05,1.5120475840797406e-05,3.315748833940149e-05,5.447862208619685e-05,2.1321133746795358e-05
as,0.0001518055353263273,6.74703724465001e-05,0.0001169161849384219,8.433516287982719e-05,3.48893503879054e-05,4.944581249192179e-05
so,0.0003787347297771425,0.0004026103402856214,0.00046185499523314626,0.0007813450700627639,0.0008405897250102888,5.924465494752482e-05
or,2.3918936323651314e-05,0.00013472708462845573,0.00019152557904661565,0.00015864602095210705,0.00021544451537026696,5.679849441815992e-05
when,0.00011673596282100513,9.351275557715599e-05,0.00016672001079104815,0.00021024871839816112,0.0002834559736120533,7.320725521389217e-05
if,6.720967422622947e-05,0.00020170703692705245,0.00021606522043761845,0.0002689167111532819,0.0002832748946638479,1.4358183510565996e-05
also,2.2448366679328447e-05,8.155552864485683e-05,8.251234941879811e-05,5.910716196552838e-05,6.006398273946966e-05,9.568207739412804e-07
then,5.825765371909308e-05,0.00010599190856232196,0.00018575494179388883,0.00016424956228141505,0.0002440125955129819,7.976303323156687e-05
after,7.687577704805071e-05,4.4122632672708936e-05,0.00017128319334044827,0.00012099840972075965,0.000248158970388499,0.00012716056066773934
because,0.0001869030468955499,0.00017474981583790537,0.00017474981583790537,0.00036165286273345527,0.00036165286273345527,0.0
before,4.268022408940478e-05,4.304451261191684e-05,4.28688874207392e-05,3.642885225120599e-07,1.8866333133441926e-07,1.7562519117764067e-07
still,1.8122383230749435e-05,0.00010228974967508813,0.00010228974967508813,8.41673664443387e-05,8.41673664443387e-05,0.0
since,0.0,0.00010031946968685239,0.00010253597956480058,0.00010031946968685239,0.00010253597956480058,2.2165098779481924e-06
while,0.0,8.534272129214382e-05,9.006204270552884e-05,8.534272129214382e-05,9.006204270552884e-05,4.7193214133850226e-06
next,0.0,0.0,8.509231174118707e-05,0.0,8.509231174118707e-05,8.509231174118707e-05
