,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.0005739732062156359,0.0012220187222475474,0.0013757689653328244,0.0017959919284631833,0.0019497421715484603,0.00015375024308527697
for,0.0003110347414171785,0.0001592872985086628,0.00017361738592975716,0.00015174744290851567,0.00013741735548742132,1.433008742109435e-05
with,0.00011282250035900287,0.00011747655509444061,0.0001414322369424969,4.65405473543774e-06,2.8609736583494038e-05,2.3955681848056298e-05
but,1.2033502002734356e-05,0.0002671268958899319,0.0003544913548476136,0.0002791603978926663,0.00036652485685034796,8.736445895768169e-05
as,0.00019956271470713096,0.0002122762099042143,0.00022866924225036877,1.2713495197083343e-05,2.9106527543237815e-05,1.6393032346154472e-05
so,0.0004894091455259876,0.00037190064030127087,0.0004141257389339557,0.0008613097858272585,0.0009035348844599433,4.2225098632684875e-05
or,3.6160161776631404e-05,0.000149654028857878,0.00017451022811553347,0.00011349386708124658,0.00013835006633890207,2.485619925765548e-05
if,0.00012397177625623562,0.0001877217179125099,0.00022414802587410006,0.0003116934941687455,0.0003481198021303357,3.642630796159017e-05
when,9.89465602266289e-05,5.387945506845612e-05,8.636371168423867e-05,0.00015282601529508503,0.00018531027191086757,3.248425661578255e-05
next,0.00015323476916607152,0.0002585046165344951,0.0002585046165344951,0.00010526984736842361,0.00010526984736842361,0.0
after,0.0002108350446304195,5.4667527625275824e-05,1.857811716602181e-05,0.00015616751700514366,0.0002294131617964413,7.324564479129763e-05
because,0.00022771123130584174,7.102331527009273e-05,0.00019021491389184,0.00029873454657593446,0.00041792614519768173,0.00011919159862174726
then,6.414019707009838e-05,7.187604381394939e-05,0.00017671915416687085,0.00013601624088404777,0.00024085935123696923,0.00010484311035292146
also,2.8686443216658432e-05,2.0264853726742493e-05,7.912367785203983e-05,8.42158948991594e-06,5.04372346353814e-05,5.885882412529734e-05
still,5.301592218422813e-05,5.075729205694612e-05,5.6983999188460046e-05,2.258630127282009e-06,3.968077004231916e-06,6.226707131513925e-06
before,8.950362598836016e-05,0.00010027585216142394,0.00011498612960431284,1.0772226173063782e-05,2.5482503615952676e-05,1.4710277442888894e-05
since,0.0,0.0,0.0001233076591980052,0.0,0.0001233076591980052,0.0001233076591980052
while,0.0,0.0,0.00010697682880692272,0.0,0.00010697682880692272,0.00010697682880692272
