,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,62.9118682416645,99.8484556485419,103.15294630575458,36.93658740687741,40.24107806409008,3.304490657212681
for,23.397738251775607,28.670129218239467,29.700531497983526,5.2723909664638615,6.302793246207918,1.0304022797440573
but,19.263536972969014,25.746986540991372,26.371679410447317,6.483449568022355,7.108142437478303,0.6246928694559482
with,19.05264500228941,24.078600728008073,24.901246506709505,5.025955725718664,5.8486015044200945,0.8226457787014316
as,17.60930236267802,21.15721670268081,21.77192174673226,3.54791434000279,4.162619384054245,0.6147050440514543
so,7.294495664623055,17.568971570740153,17.79334675279897,10.274475906117098,10.498851088175915,0.22437518205881585
when,7.566641941767425,10.972893458727121,11.268624097942405,3.4062515169596965,3.7019821561749806,0.2957306392152842
or,7.328994874840168,10.619412855860109,11.049541735222592,3.2904179810199397,3.7205468603824237,0.4301288793624841
if,4.784204378482376,8.96454202038467,9.158531393098215,4.180337641902294,4.37432701461584,0.19398937271354644
after,6.6468109774202215,7.038792104204909,7.011738262974154,0.39198112678468744,0.3649272855539327,0.027053841230754716
then,4.016186833229829,6.5833720786382255,6.907260963335729,2.5671852454083965,2.8910741301059,0.32388888469750354
because,2.5679858596778584,5.974143727844989,6.121541030985867,3.406157868167131,3.5535551713080085,0.14739730314087776
also,3.123199786249258,4.353613916169614,4.429445570337609,1.230414129920356,1.3062457840883515,0.07583165416799553
before,3.516647615442983,4.071506813491723,4.1279234418070265,0.5548591980487397,0.6112758263640435,0.05641662831530381
still,3.441819085519511,4.2451473759884975,4.2451473759884975,0.8033282904689864,0.8033282904689864,0.0
while,0.0,0.28891961773128455,0.24576460406198233,0.28891961773128455,0.24576460406198233,0.04315501366930222
since,0.0,0.0,0.2614324324899046,0.0,0.2614324324899046,0.2614324324899046
