,"Δ (Spotify, TED)","Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (TED, NYTimes)","Δ (TED, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.004806378959970683,0.0024361977182574043,0.00395244985105451,0.007242576678228087,0.008758828811025193,0.0015162521327971058
for,0.0009306283401739153,0.00041130751381592695,0.0002489355842229743,0.0013419358539898422,0.0011795639243968896,0.00016237192959295266
but,0.0004768792600780272,0.0017342939106219971,0.0020877318204425674,0.00125741465054397,0.0016108525603645402,0.0003534379098205703
with,0.0006027422651532091,0.00012902876646085724,0.0003652842897800927,0.0004737134986923519,0.00023745797537311642,0.0002362555233192355
as,0.0010661630535858564,0.0006321975571540826,0.0008190779442187567,0.00043396549643177386,0.00024708510936709976,0.0001868803870646741
so,0.002271988132201413,0.0021282636510671013,0.0023211890486028496,0.004400251783268514,0.0045931771808042626,0.00019292539753574818
when,0.00012642936034815686,0.0006504347658967031,0.0008279118118545978,0.00077686412624486,0.0009543411722027547,0.0001774770459578947
or,0.00020520904070776445,0.0002552210356748987,0.0005814318785726609,0.00046043007638266317,0.0007866409192804253,0.0003262108428977622
if,0.0007480198237845774,0.0006512152028407467,0.0007435131243699858,0.001399235026625324,0.0014915329481545632,9.229792152923907e-05
after,0.0007637836230035796,0.0003406844822148856,3.489511860018811e-05,0.000423099140788694,0.0007986787416037677,0.0003755796008150737
then,0.0002775570395627657,0.0006088831004726635,0.00111302368615883,0.0008864401400354292,0.0013905807257215956,0.0005041405856861665
because,0.0007918976917075911,0.00045560331201354386,0.0005641306670930194,0.001247501003721135,0.0013560283588006105,0.00010852735507947561
also,8.450102987825477e-05,0.00014575210852717344,0.00032515952270860144,6.125107864891866e-05,0.00024065849283034667,0.000179407414181428
before,0.00028617006803338435,0.00020662890400290144,0.0001457269991300518,7.954116403048291e-05,0.00014044306890333255,6.090190487284964e-05
still,0.0002976617583001523,0.0006840554607377071,0.0006840554607377071,0.00038639370243755486,0.00038639370243755486,0.0
while,0.0,0.00044971010794429963,0.0005201071715721432,0.00044971010794429963,0.0005201071715721432,7.039706362784359e-05
since,0.0,0.0,0.0005532647125428075,0.0,0.0005532647125428075,0.0005532647125428075
