,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,19.622660653450826,20.10838192033136,0.4857212668805372
so,14.410536821297978,14.513805086106634,0.10326826480865758
but,8.635248484980327,9.182872421632256,0.5476239366519283
if,5.147933237335276,5.293296063275999,0.14536282594072397
for,4.648278518986593,4.884647702753782,0.2363691837671888
as,3.9765972700916463,4.178190738507772,0.2015934684161259
with,3.411232307853425,3.559695871373582,0.14846356352015694
when,3.208047175817205,3.4140179471897314,0.2059707713725264
also,2.6373696321163025,2.6584767716701725,0.021107139553870002
then,2.287258756379567,2.37127719338174,0.08401843700217322
however,1.9281092739036665,1.8344939787947392,0.0936152951089274
after,1.4320746487642462,1.50763684199517,0.07556219323092392
or,1.3608914450035945,1.3608914450035945,0.0
because,1.3371675053918044,1.3371675053918044,0.0
still,1.1469062815877973,1.1881107853357804,0.04120450374798307
while,0.15170683391012785,0.0881513819571885,0.06355545195293935
although,0.09078989770744393,0.0,0.09078989770744393
since,0.0905969742269319,0.06145274533814563,0.029144228888786268
