,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,0.0014532116191631396,0.001795670283692232,0.00034245866452909226
so,0.0020242087670399654,0.0021232592366732714,9.905046963330603e-05
but,0.00022799006754723882,0.0002812908778442318,0.0005092809453914706
if,0.0003056576067365773,0.0004031354534483744,9.747784671179709e-05
for,0.0001390199758959875,4.968574367157945e-06,0.00014398855026314544
as,7.739216326204225e-06,0.00018042285200909518,0.00017268363568289096
with,6.522835779030191e-05,2.292007255424544e-06,6.752036504572645e-05
when,8.318032739248592e-06,0.00021686736870735537,0.00022518540144660397
also,6.046334250086569e-05,0.00021053064963075235,0.00015006730712988667
then,0.00013691374486401867,0.0002217936443804369,8.487989951641822e-05
however,0.0003106920822520797,0.00011257573209322606,0.00019811635015885365
after,0.00012082709769577828,0.00010195611233512763,1.8870985360650645e-05
or,0.00021929161510185938,0.00021929161510185938,0.0
because,0.00021546878187504408,0.00021546878187504408,0.0
still,2.314903825920885e-05,4.549893046987502e-05,2.2349892210666173e-05
while,0.00023613521708679787,0.00018655316991199417,4.9582047174803696e-05
although,0.00014131658839532484,0.0,0.00014131658839532484
since,0.00014101629850872134,0.00013005132974765256,1.0964968761068786e-05
