,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,12.192345952118698,12.73508832158936,0.5427423694706631
for,5.9910048548750785,6.209618323518239,0.21861346864316022
with,3.930333997244384,4.034172895627962,0.10383889838357815
as,3.1313177689207663,3.215996033371689,0.08467826445092297
or,1.958747376228384,2.0617926423416533,0.10304526611326945
but,1.2411690440779963,1.2628821097001788,0.0217130656221824
so,0.9736056269274358,1.0006343292981008,0.027028702370665125
after,0.8559646872571176,0.861730221426787,0.005765534169669385
next,0.8105837893157911,0.8201833442734632,0.009599554957671987
though,0.8576563623292596,0.8576563623292596,0.0
later,0.7930181749486472,0.7934481540843608,0.0004299791357135242
when,0.683983651084582,0.6970804158288488,0.013096764744266829
before,0.5378775972098574,0.5529091078811805,0.015031510671323134
then,0.5190510424155284,0.5190510424155284,0.0
yet,0.5154565061107117,0.5154565061107117,0.0
since,0.04246633808600507,0.045547056090092644,0.0030807180040875737
if,0.026963481417373245,0.01938094822927353,0.007582533188099715
without,0.024863956612694797,0.0,0.024863956612694797
earlier,0.0,0.024039739464937704,0.024039739464937704
