,"Δ (Spotify, NYTimes)","Δ (Spotify, Gigaword)","Δ (NYTimes, Gigaword)"
and,4.1097099510946714e-05,0.000302892331306418,0.0003439894308173647
for,5.701298642463528e-05,0.00015526943579817444,9.825644937353916e-05
with,0.0001714701811454933,0.00020594874002678173,3.447855888128842e-05
as,0.00014560990234612208,0.00018081418239479123,3.520428004866915e-05
or,8.77279489245518e-06,7.916626189944786e-05,8.793905679190303e-05
but,0.0001382719193559614,0.00015946076810645054,2.1188848750489142e-05
so,7.491289661125459e-05,9.92301191126283e-05,2.4317222501373708e-05
after,7.38742060927884e-05,6.0380279425379076e-05,1.3493926667409325e-05
next,3.4335508386640066e-05,1.6027953002692766e-05,1.83075553839473e-05
though,0.0001382012133209288,0.0001382012133209288,0.0
later,8.925272170444212e-05,7.470524581263798e-05,1.4547475891804142e-05
when,6.750293438687517e-05,7.80850766128864e-05,1.058214222601123e-05
before,1.1624530532480627e-05,1.332990392173478e-05,1.705373389254152e-06
then,8.363895726547411e-05,8.363895726547411e-05,0.0
yet,8.305974010989602e-05,8.305974010989602e-05,0.0
since,6.609984339110719e-05,9.63904082399162e-05,3.0290564848809012e-05
if,4.196928624638717e-05,4.101554902255718e-05,9.53737223829993e-07
without,3.870132703351769e-05,0.0,3.870132703351769e-05
earlier,0.0,5.087486436934846e-05,5.087486436934846e-05
